Time,Track1,Track2,Track3,Track1 Speaker,Track1 Language,Track2 Speaker,Track2 Language,Track3 Speaker,Track3 Language,Track1_ES,Track2_ES,Track3_ES
3:00 pm,"Empowering Climate Justice through GIS: Navigating the Digital Rights and Environmental Advocacy Terrains","Qualitative Data Analysis in Health Sciences",Disorderly Transition: Preserving the Argentine Government's Open Data,Cathy Richards,EN,Karla Marisol Teutli Mellado,ES,Patricio Del Boca,"EN, ES","Empoderar la justicia climática a través de SIG: navegando por los terrenos de los derechos digitales y la defensa del medio ambiente",Análisis de Datos Cualitativos en Ciencias de la Salud,Transición Desordenada: Preservando los Datos Abiertos del Gobierno Argentino
3:25 pm,Coffee Break / Descanso,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
3:50 pm,Fires in the Amazon: investigating the effects of pollution on health,"The Carpentries México: Access, management and analysis of genomic data for beginners",Mapping the hidden: what the data on irregular migration through Mexico tell us,Renata Hirota,ES,Jose Abel Lovaco-Flores,ES,Alberto Hernández Armendáriz,ES,Incendios en la Amazonia: investigando los efectos de la contaminación en la salud,"The Carpentries México: Acceso, manejo y análisis de datos genómicos para principiantes ",Mapeando lo escondido: que nos dicen los datos de la migración irregular por México
4:15 pm,"Intersectionality and inequality in distance learning on educational platforms in professionalizing higher education.","Power of Data Mapping with DocMaps","Turning a spreadsheet into a collaborative, visual database",Esther Vaillard Jiménez,ES,Hazal Ciplak,EN,Anais Concepcion,EN,"Interseccionalidad y desigualdad en el aprendizaje a distancia en  las plataformas educativas en la educación superior profesionalizante","El poder del mapeo de datos con DocMaps",Convertir una hoja de cálculo en una base de datos visual colaborativa
4:40 pm,"What is the csv,conf about? Applying NLP to decipher the agenda of this mysterious data conference","Community driven data interoperability: the case of a local government, a research institution and a small media organization","Wikirate: Open data for social justice and business transformation.",Fernanda Aguirre Ruiz,ES,"Juan Pablo Marin Diaz, Juliana Galvis",EN,Lucia Ixtacuy,ES,"¿De qué trata la csv,conf? Aplicando NLP para descifrar la agenda de esta misteriosa conferencia de datos","Interoperabilidad de datos impulsada por la comunidad: el caso de un gobierno local, una institución de investigación y una pequeña organización de medios","Wikirate: Datos abiertos para la justicia social y la transformación empresarial"
5:05 pm,Shuttle Buses back to NH Hotel start at 5:10pm / Los autobuses de regreso al hotel NH salen a las 17:10,,,,,,,,,,,
6:00 pm,Reception / Recepción,,,,,,,,,,,
THURSDAY / JUEVES - Mayo 30 / May 30 - Dia / Day 2,,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
9:00 am,Breakfast / Desayuno - BUAP Unidad de Seminarios,,,,,,,,,,,
09:45 am,KEYNOTE,"Open Learning Ecosystem, ecoBUAP",, ,BUAP Unidad de Seminarios,Emilio Soto,ES,,,KEYNOTE,"Open Learning Ecosystem, ecoBUAP",,
10:15 am,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
10:25 am,Exploring Challenges and Strengths: R-Ladies Puebla and Data Science with a Gender Perspective,"Poroteo in a spreadsheet: the followup",Health and Data: opportunities and future challenges,"Averi Giudicessi, Naiki Olivas Gaspar",ES,Andrés Snitcofsky,"ES,ES",Guillermo de Anda-Jáuregui,EN,Explorando Desafíos y Fortalezas: R-Ladies Puebla y la Ciencia de Datos con Perspectiva de Género,"Seguimiento en una hoja de cálculo: la continuación",Salud y Datos: oportunidades y desafíos de futuro
10:50 am,Removing data barriers for decarbonization with the Public Utility Data Liberation Project,Coordination and Action: The Articulation of Humanitarian Mapping Response after Hurricane Otis,"",Bennett Norman,EN,"Céline Jacquin, Mariana Marín",ES,,,Eliminando barreras de datos para la descarbonización con el Proyecto de Liberación de Datos de Servicios Públicos,Coordinación y Acción: La articulación de la respuesta de mapeo humanitario tras el huracán Otis,
11:15 am,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
11:25 am,KEYNOTE,"From data to action: how to (un)mobilise millions of people through a CSV",, ,BUAP Unidad de Seminarios,Paola Villareal,ES,,,KEYNOTE,"De los datos a la acción: cómo (des)movilizar a millones de personas a través de un CSV",,
12:15 pm,Lunch / Almuerzo - BUAP Unidad de Seminarios,,,,,,,,,,,
1:00 pm,KEYNOTE,"Building community through collaborative datasets",, ,BUAP Unidad de Seminarios,Mago Torres,EN,,,KEYNOTE,"Crear comunidad mediante conjuntos de datos colaborativos",,
1:50 pm,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
2:00 pm,Piñata Time in front of EMA5 / Piñata frente a EMA5,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
2:15 pm,"Data, journals and data journals: routes towards strengthening trust in science and research",AI and Academic Data - Niche communities or a global opportunity?,A Bite of Quinoa Genomics Data,Ivonne Lujano,EN,Mark Hahnel,EN,Nick Doiron,EN,"Datos, revistas y revistas de datos: rutas hacia el fortalecimiento de la confianza en la ciencia y la investigación",IA y datos académicos: ¿comunidades de nicho o una oportunidad global?,Un bocado de datos genómicos de la quinoa
2:40 pm,Dataverse SciELO México: open data repository for Mexican science,"Facilitating Access to Social Media Data: Bridging the Gap between Social Media Data Providers, Researchers, and Users",Holding the powerful and their data accountable,Julio Zetter Patiño,ES,Marley Kalt,EN,Raeedah Wahid,EN,Dataverse SciELO México: repositorio de datos abiertos para la ciencia mexicana,"Facilitar el acceso a los datos de las redes sociales: cerrar la brecha entre los proveedores de datos de las redes sociales, los investigadores y los usuarios",Responsabilizar a los poderosos y sus datos 
3:05 pm,Coffee Break,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
3:30 pm,Development and implementation of the Social Movements Index,No single-file data dump that's platform agnostic? Many problems!,Creative Data Representation for Social Justice Movements,María de los Ángeles Lasa,ES,Michael Diedrick,EN,Rahul Bhargava,EN,Desarrollo e implementación del Índice de Movimientos Sociales,¿No hay ningún volcado de datos de un solo archivo que sea independiente de la plataforma? ¡Muchos problemas!,Representación creativos de datos para movimientos de justicia social 
3:55 pm,"A journey publishing an interactive visualization platform for health data in the US","Workplace Democracy, Open Source, and Open Data","Data and State, related issues",Mariana Bedran Lesche,ES,Zane Selvans,EN,"Juan Pablo Ruiz Nicolini, Paula Luvini ",EN,"Un viaje publicando una plataforma de visualización interactiva de datos de salud en EE. UU.","Democracia en el lugar de trabajo, código abierto y datos abiertos","Datos y Estado, asuntos vinculados"
4:20 pm,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
4:30 pm,Closing - Shuttle Buses back to NH Hotel start at 4:40pm / Cierre - Los autobuses de vuelta al hotel NH comienzan a las 16:40,,,,,,,,,,,
