Name,Pronouns,EN_Title,EN_Description,ES_Title,ES_Description,Language,GitHub,Social
Cathy Richards,she/her,Empowering Climate Justice through GIS: Navigating the Digital Rights and Environmental Advocacy Terrains (EN),"In this talk, I will explore the transformative potential of Geographic Information Systems (GIS) in the realm of climate justice and digital rights. I will present findings from my fellowship research, which investigates the utility of GIS in promoting environmental justice and digital rights. This presentation will delve into how GIS technologies have evolved from specialized tools to more consumer-accessible applications, thanks to advancements in drone, remote sensing, and earth observation technologies. I will highlight case studies where GIS has been effectively used by community organizations to track environmental changes, monitor resources, and document land claims. The focus will be on showcasing how GIS empowers communities in their fight for climate justice, while also addressing the challenges and responsibilities that come with the democratization of such powerful tools.",Empoderar la justicia climática a través de SIG: navegando por los terrenos de los derechos digitales y la defensa del medio ambiente (EN),"En esta charla, exploraré el potencial transformador de los Sistemas de Información Geográfica (SIG) en el ámbito de la justicia climática y los derechos digitales. Presentaré los resultados de mi investigación de beca, que investiga la utilidad de los SIG en la promoción de la justicia ambiental y los derechos digitales. Esta presentación profundizará en cómo las tecnologías SIG han evolucionado desde herramientas especializadas hasta aplicaciones más accesibles para el consumidor, gracias a los avances en las tecnologías de drones, teledetección y observación de la Tierra. Destacaré estudios de casos en los que organizaciones comunitarias han utilizado eficazmente los SIG para rastrear cambios ambientales, monitorear recursos y documentar reclamos de tierras. La atención se centrará en mostrar cómo los SIG empoderan a las comunidades en su lucha por la justicia climática, al mismo tiempo que abordan los desafíos y responsabilidades que conlleva la democratización de herramientas tan poderosas.",Combinación/Combination,myqntm,myqntm
Céline Jacquin and Mariana Marín,,Humanitarian Mapping in Action: Rebuilding Acapulco after Hurricane Otis (ES),"Responding to the impact of disasters around the world, HOT has been supporting field organizations and governments for 14 years for their adequate response in the territory. Last November, Hurricane Otis devastated part of Acapulco, Mexico, activating the OpenStreetMap Latin America and Caribbean Hub in collaboration with CENAPRED, Civil Protection and a group of organizations to lead a humanitarian mapping initiative in the area most affected. The talk will highlight the rapid action of volunteers using OpenStreetMap in real time to map critical areas and facilities, providing crucial data for disaster management and reconstruction in the months that follow. We will explore the impact of open source tools supported by OSM, highlighting that this initiative goes beyond mapping by weaving stories of solidarity into post-disaster reconstruction. Additionally, we will explore how community collaboration in creating free and open maps not only transforms humanitarian response, but also contributes to sustainable development.",Mapeo Humanitario en Acción: Reconstruyendo Acapulco después del Huracán Otis (ES),"Respondiendo al impacto de desastres en todo el mundo, HOT da apoyo a organizaciones de campo y gobiernos desde hace 14 años para su adecuada respuesta en territorio. En noviembre pasado, el huracán Otis devastó parte de  Acapulco, México, activando el Hub de Latinoamérica y el Caribe de OpenStreetMap en colaboración con el CENAPRED, Protección Civil y un grupo de organizaciones para liderar una iniciativa de mapeo humanitario en la zona de mayor afectación. La charla destacará la rápida acción de las personas voluntarias utilizando OpenStreetMap en tiempo real para cartografiar áreas y equipamientos críticos, proporcionando datos cruciales para la gestión de desastres y la reconstrucción en los meses posteriores. Exploraremos el impacto de las herramientas de código abierto respaldadas por OSM, subrayando que esta iniciativa va más allá de la cartografía al tejer historias de solidaridad en la reconstrucción post-desastre. Además, analizaremos cómo la colaboración comunitaria en la creación de mapas libres y abiertos no solo transforma la respuesta humanitaria, sino que también contribuye al desarrollo sostenible.",Combinación/Combination,@mapeadora / @unmarecito,@mapeadora /@unmarecito
David Daza,,Data Architectures in the Cloud for Strengthening Democracy,"We will work at the intersection between technology and democracy. We will explore how modern data architectures in the cloud are transforming the way democratic institutions operate, interact, and serve citizens, while showing the challenges and learnings of building data platforms in countries like Uganda, Colombia and Kosovo. We will touch on key aspects like. Foundations of Cloud Architectures: Capabilities and advantages of open data solutions. Democratic Impact: Real cases where these architectures have empowered democratic processes, from elections to citizen participation and procurement oversight. Challenges and Solutions: Discussion about the challenges democracies face when adopting these technologies and how to overcome them. Future Vision: Reflections on how the evolution of these technologies can shape the future of our democracies. A journey through innovative implementations that not only optimize processes but also reinforce the democratic fabric of our societies. This session is essential for those interested in the intersection between technology and governance. This session stands out for its innovative approach to the intersection between technology and information architecture in relation to democracy, specifically from the perspective of open government and the use of open data. We will present fresh experiences and hope to center the discussion, emphasizing the inclusion and relevance of minority communities in the dialogue about representation through information.
",Arquitecturas de Datos en la Nube para Fortalecer la Democracia.,"Trabajaremos en la intersección entre la tecnología y la democracia. Exploraremos cómo las modernas arquitecturas de datos en la nube están transformando la forma en que operan, interactúan y sirven a los ciudadanos las instituciones democráticas, mientras mostramos los desafíos y aprendizajes de construir plataformas de datos en países como Uganda, Colombia y Kosovo. Abordaremos aspectos clave como:

- Fundamentos de las Arquitecturas en la Nube: Capacidades y ventajas de las soluciones de datos abiertos.
- Impacto Democrático: Casos reales donde estas arquitecturas han empoderado procesos democráticos, desde elecciones hasta participación ciudadana y supervisión de la contratación.
- Desafíos y Soluciones: Debate sobre los desafíos que enfrentan las democracias al adoptar estas tecnologías y cómo superarlos.
- Visión Futura: Reflexiones sobre cómo la evolución de estas tecnologías puede dar forma al futuro de nuestras democracias.

Un recorrido por implementaciones innovadoras que no solo optimizan procesos, sino que también refuerzan el tejido democrático de nuestras sociedades. Esta sesión es esencial para aquellos interesados en la intersección entre la tecnología y la gobernanza. Destaca por su enfoque innovador en la intersección entre la tecnología y la arquitectura de la información en relación con la democracia, específicamente desde la perspectiva de gobierno abierto y el uso de datos abiertos. Presentaremos experiencias frescas y esperamos centrar la discusión, enfatizando la inclusión y relevancia de las comunidades minoritarias en el diálogo sobre representación a través de la información.",Combinación/Combination,https://github.com/ddazal,
Fernanda Aguirre Ruiz,,"What is the csv,conf about? Applying NLP to decipher the agenda of this mysterious data conference (ES)","In this session we will apply Natural Language Processing (NLP) techniques to understand what is usually discussed in this conference, with the goal that this analysis serves as an introduction to data analysis in text form. So this session function as a practical workshop, these techniques will be applied to a database extracted from the event website with information on all sessions presented in the history of the CSV Conference.

Through tasks such as extracting named entity recognition (NER), topic modeling, tokenization, among others, we will answer questions such as: What have been the most common topics of the sessions? From what perspectives are the topics addressed? data? What geographic regions have the talks covered? How diverse was the selection of speakers? o What sessions have been most similar to each other?

In summary, we will examine a general overview of the possibilities of text analysis, with the aim of serving as a guide to be applied to other projects. As part of the materials, the Jupyter notebooks used for this analysis will be shared, hence this session is suitable for both beginners and attendees with knowledge of Python. Finally, another purpose is to share alternatives to analyze data that are in languages other than English.","¿De qué trata la csv,conf? Aplicando NLP para descifrar la agenda de esta misteriosa conferencia de datos (ES)","En esta sesión aplicaremos técnicas de Procesamiento del Lenguaje Natural (NLP en inglés) para comprender qué suele abordarse en esta conferencia, con el objetivo de que este análisis sirva como introducción al análisis de datos en forma de texto. A modo de que esta sesión funcione como un taller práctico, estas técnicas se aplicarán a una base de datos extraídos del sitio web del evento con información sobre todas las sesiones presentadas en la historia de la CSV Conference.

Por medio de tareas como extraer reconocimiento de entidades nombradas (NER en inglés), modelado de tópicos, tokenización, entre otras, responderemos a preguntas como: ¿Cuáles han sido los temas más comunes de las sesiones?, ¿Desde qué perspectivas se abordan los datos?, ¿Qué regiones geográficas han cubierto las charlas?, ¿Qué tan diversa ha sido la selección de speakers? o ¿Cuáles han sido las sesiones más similares entre sí?

En resumen, examinaremos un panorama general sobre las posibilidades del análisis de texto, con la finalidad de que sirva como guía para aplicarse a otros proyectos. Como parte de los materiales, se compartirán los cuadernos de Jupyter utilizados para este análisis, de ahí que esta sesión sea apta tanto para principiantes como para asistentes con conocimientos de Python. Por último, otro de los propósitos es compartir alternativas para analizar datos que se encuentran en otras lenguas que no es el inglés.",Español,fer-aguirre,feragru
Grant R. Vousden-Dishington,he/him/his,Connecting with Graph Neural Networks: From 0 to more than 0 (EN),"Most presentations about fashionable new techniques in Machine Learning, like Graph Neural Networks (GNNs) are given by industry specialists or experts who work intensively with the technologies they're presenting. This is not that talk. This is an introduction to GNNs from an experienced data scientist who, until shortly before this conference, has never used GNNs for projects. This presentation will show you how to get into using graph methods and thinking about the problems they're useful for, from the perspective of someone else who has only recently begun using these methods, focusing on the learning experience and early mistakes that can come with applying them to traditional problem types. Attendees can expect to come away knowing that they can also use these techniques for their (appropriate) problems and know where to begin.",Conexión con redes neuronales gráficas: de 0 a más de 0 (EN),"La mayoría de las presentaciones sobre nuevas técnicas de moda en aprendizaje automático, como Graph Neural Networks (GNN), están a cargo de especialistas o expertos de la industria que trabajan intensamente con las tecnologías que presentan. Esta no es esa charla. Esta es una introducción a las GNN por parte de un científico de datos experimentado que, hasta poco antes de esta conferencia, nunca había utilizado GNN para proyectos. Esta presentación mostrará cómo empezar a utilizar métodos gráficos y a pensar en los problemas para los que son útiles, desde la perspectiva de otra persona que acaba de empezar a utilizar estos métodos, centrándose en la experiencia de aprendizaje y los primeros errores que pueden surgir. aplicándolos a tipos de problemas tradicionales. Los asistentes pueden esperar salir sabiendo que también pueden utilizar estas técnicas para sus problemas (cuando sea apropiado) y saber por dónde empezar.",English,grantrvd,grantrvd@hachyderm.io
Greg Chism,He/Him/His,Harnessing Personal Narratives in Project-Based Learning for Data Science Education (EN),"As humans, we have told stories for over 4000 years, they are practically built into our cultural DNA. In this talk, I describe utilizing narratives and project-based learning towards teaching data science to a diverse audience, enhancing their connection to the material and fostering inclusivity. This talk outlines the principles of project-based learning in the context of data science - an active learning strategy that emphasizes practical skill development. It delves into how personal experiences can be transformed into data science projects, offering benefits such as increased engagement and representation in the classroom. The presentation will feature examples demonstrating this method's success, discuss challenges educators might face, and provide strategies to support students from varied backgrounds. Conclusively, this talk underscores the importance of combining individual stories with project-based learning in data science education, aiming to create a more inclusive and effective learning environment that prepares students to apply data science with an awareness of diverse perspectives.",Aprovechamiento de narrativas personales en el aprendizaje basado en proyectos para la educación en ciencia de datos (EN),"Como seres humanos, hemos contado historias durante más de 4000 años y prácticamente están integradas en nuestro ADN cultural. En esta charla, describo la utilización de narrativas y aprendizaje basado en proyectos para enseñar ciencia de datos a una audiencia diversa, mejorando su conexión con el material y fomentando la inclusión. Esta charla describe los principios del aprendizaje basado en proyectos en el contexto de la ciencia de datos: una estrategia de aprendizaje activo que enfatiza el desarrollo de habilidades prácticas. Profundiza en cómo las experiencias personales pueden transformarse en proyectos de ciencia de datos, ofreciendo beneficios como una mayor participación y representación en el aula. La presentación incluirá ejemplos que demuestran el éxito de este método, discutirá los desafíos que los educadores podrían enfrentar y proporcionará estrategias para apoyar a estudiantes de diversos orígenes. En conclusión, esta charla subraya la importancia de combinar historias individuales con el aprendizaje basado en proyectos en la educación en ciencia de datos, con el objetivo de crear un entorno de aprendizaje más inclusivo y eficaz que prepare a los estudiantes para aplicar la ciencia de datos con conocimiento de diversas perspectivas.",English,Gchism94,N/A
Guillermo de Anda-Jáuregui,Any,Health and Data: opportunities and future challenges (EN),"From the molecular scale up to large populations, large data provides novel opportunities for interventions leading to better health.Technological advances in biomedical sciences have made the analysis of large scale data a more pressing need for precision medicine. Furthermore, other sources of big data, from geospatial imaging to mobility data can lead to new insights into the origin and spread of diseases. In this talk, we will address these opportunities and challenges using some use cases as applied to the mexican context. ",Salud y Datos: oportunidades y desafíos de futuro (EN,"Desde la escala molecular hasta grandes poblaciones, los datos masivos brindan nuevas oportunidades para intervenciones que conduzcan a una mejor salud. Los avances tecnológicos en las ciencias biomédicas han hecho que el análisis de datos a gran escala sea una necesidad más apremiante para la medicina de precisión. Además, otras fuentes de big data, desde imágenes geoespaciales hasta datos de movilidad, pueden generar nuevos conocimientos sobre el origen y la propagación de enfermedades. En esta charla, abordaremos estas oportunidades y desafíos utilizando algunos casos de uso aplicados al contexto mexicano.",English,guillermodeandajauregui,gdeandajauregui
Hazal Ciplak,she/her,Power of Data Mapping with DocMaps (EN),"In my speech, I will introduce you to DocMaps, a very useful framework to create and work with documents in a machine-readable way. We will explore the DocMaps standards, and I will show you how we apply them at eLife to generate Reviewed Preprints using our Enhanced Preprint Platform. Specifically, I will explain how valuable DocMaps has been during the switch to eLife’s new automated publishing system. By the end, you will have a clear understanding of how DocMaps can benefit your own projects too.",El poder del mapeo de datos con DocMaps (EN),"En mi discurso, les presentaré DocMaps, un marco muy útil para crear y trabajar con documentos de forma legible por máquina. Exploraremos los estándares de DocMaps y le mostraré cómo los aplicamos en eLife para generar preimpresiones revisadas utilizando nuestra plataforma de preimpresión mejorada. Específicamente, explicaré cuán valioso ha sido DocMaps durante el cambio al nuevo sistema de publicación automatizado de eLife. Al final, comprenderá claramente cómo DocMaps también puede beneficiar sus propios proyectos.",English,HazalCiplak,
Ivonne Lujano,,"Data, journals and data journals: routes towards strengthening trust in science and research (EN)","In this talk, I will address some trends in the publication of data journals from the perspective of the Directory of Open Access Journals (DOAJ). Data journals are publications primarily dedicated to selecting, reviewing, and disseminating articles and reports that describe research data sets. Given data's relevance in reproducibility and research transparency, these journals can contribute to promoting trust in science and the culture of sharing data in a structured way for its appropriate reuse. Data journals generally follow editorial procedures similar to other peer-reviewed publications. However, their contribution selection policies and their interconnection with data repositories imply specific challenges regarding open infrastructures' operation, maintenance, and coordination. In this talk, I will present examples of data journals from different disciplines included in the DOAJ. I will also discuss how inclusion in DOAJ provides visibility to journals not indexed elsewhere, increasing the reuse and potential impact of datasets, which ultimately helps build trust in open access publications globally.","Datos, revistas y revistas de datos: rutas hacia el fortalecimiento de la confianza en la ciencia y la investigación (EN)","En esta charla abordaré algunas tendencias en la publicación de revistas de datos desde la perspectiva del Directorio de Revistas de Acceso Abierto (DOAJ). Las revistas de datos son publicaciones dedicadas principalmente a seleccionar, revisar y difundir artículos e informes que describen conjuntos de datos de investigación. Dada la relevancia de los datos en la reproducibilidad y la transparencia de la investigación, estas revistas pueden contribuir a promover la confianza en la ciencia y la cultura de compartir datos de forma estructurada para su adecuada reutilización. Las revistas de datos generalmente siguen procedimientos editoriales similares a otras publicaciones revisadas por pares. Sin embargo, sus políticas de selección de contribuciones y su interconexión con repositorios de datos implican desafíos específicos en cuanto a la operación, mantenimiento y coordinación de las infraestructuras abiertas. En esta charla presentaré ejemplos de revistas de datos de diferentes disciplinas incluidas en el DOAJ. También discutiré cómo la inclusión en DOAJ brinda visibilidad a revistas que no están indexadas en otros lugares, aumentando la reutilización y el impacto potencial de los conjuntos de datos, lo que en última instancia ayuda a generar confianza en las publicaciones de acceso abierto a nivel mundial.",Combinación/Combination,,@ivonnelujano
Jacopo Ottaviani,he/him,Crafting Winning Grant Applications for Data Journalism Adventures,"How to win data journalism grants to fund your open data and storytelling projects? I'll delve into the intersection of open data and storytelling in the realm of data journalism funding. In this session, we'll explore the art of grant writing with a particular emphasis on leveraging open data to tell data journalistic stories. Understand the evolving landscape of journalism funding with a focus on open data initiatives. I'll explore examples of successful projects funded by organisations such as EJC, ICFJ, Pulitzer Center on Crisis Reporting, and JournalismFund, highlighting the role of open data in their narratives. I worked on multiple grant-winning projects such as MapMakoko in Nigeria and Migrants Files in Europe. I'll identify and share the essential ingredients for managing successful journalism projects, with a spotlight on the integration of open data. If time permits, this can be turned into an hands-on workshop with people simulating their grant applications under my supervision.
",Creando Solicitudes de Subvenciones Ganadoras para Aventuras de Periodismo de Datos,"¿Cómo ganar subvenciones de periodismo de datos para financiar tus proyectos de datos abiertos y narrativa? Profundizaré en la intersección de los datos abiertos y la narrativa en el ámbito de la financiación del periodismo de datos. En esta sesión, exploraremos el arte de escribir propuestas de subvención con un énfasis particular en aprovechar los datos abiertos para contar historias periodísticas basadas en datos. Comprenderemos el panorama en evolución de la financiación del periodismo, con un enfoque en las iniciativas de datos abiertos. Exploraré ejemplos de proyectos exitosos financiados por organizaciones como EJC, ICFJ, Pulitzer Center on Crisis Reporting y JournalismFund, destacando el papel de los datos abiertos en sus narrativas. Trabajé en múltiples proyectos ganadores de subvenciones, como MapMakoko en Nigeria y Migrants Files en Europa. Identificaré y compartiré los ingredientes esenciales para gestionar proyectos periodísticos exitosos, con un énfasis en la integración de datos abiertos. Si el tiempo lo permite, esto se puede convertir en un taller práctico donde las personas simulan sus solicitudes de subvención bajo mi supervisión.",Combinación/Combination,JacopoOttaviani,JacopoOttaviani
Joel Natividad,He,qsv: A Blazing-Fast CSV Data-Wrangling Toolkit (EN),"qsv is a blazing-fast, multi-platform, command-line, data-wrangling toolkit designed to solve the majority of day-to-day data-wrangling use cases in seconds without having to resort to programming or specialized tools. In this talk, we demonstrate qsv and how we've used it not only to wrangle data, but to facilitate extended use case of metadata inferencing to aid Data Publishers publish high quality open data.",qsv: un kit de herramientas ultra-rápido para la gestión de datos CSV (EN),"qsv es un conjunto de herramientas de gestión de datos ultrarrápido, multiplataforma, de línea de comandos, diseñado para resolver la mayoría de los casos de uso de gestión de datos del día a día en segundos sin tener que recurrir a programación o herramientas especializadas. En esta charla, demostramos qsv y cómo lo hemos usado no solo para discutir datos, sino también para facilitar un caso de uso extendido de inferencia de metadatos para ayudar a los editores de datos a publicar datos abiertos de alta calidad.",English,jqnatividad,@jqnatividad
John Aitokhuehi,"Mr, Him, His",Empowering Investigative Journalists as Front-Line Data Collection Experts (EN),"I will provide guidance and insights into how I led both the Frontline Investigative Program and the Frontline Data Collection Program for the African Data Hub. This involves detailing the methodologies and practical approaches utilized to empower a team of 18 journalists and 24 individuals in gathering primary data from Primary Healthcare centers across Nigeria's six geo-political zones. Our methodology centered on leveraging free open source tools like the Kobo toolkit, a pivotal resource enabling efficient data collection. Notably, this toolkit facilitated data collection in even the most remote areas of the country by integrating GPS technology, ensuring comprehensive coverage, prevents post data collection loss and accuracy in our data acquisition process.",Empoderando Periodistas de Investigación como Expertos de Primera Línea en la Recopilación de Datos(EN),"Proporcionaré orientación e información sobre cómo dirigí tanto el Programa de investigación de primera línea como el Programa de recopilación de datos de primera línea para African Data Hub. Esto implica detallar las metodologías y enfoques prácticos utilizados para capacitar a un equipo de 18 periodistas y 24 individuos en la recopilación de datos primarios de los centros de atención primaria de salud en las seis zonas geopolíticas de Nigeria. Nuestra metodología se centró en aprovechar herramientas gratuitas de código abierto como el kit de herramientas Kobo, un recurso fundamental que permite una recopilación de datos eficiente. En particular, este conjunto de herramientas facilitó la recopilación de datos incluso en las áreas más remotas del país mediante la integración de la tecnología GPS, lo que garantiza una cobertura integral, evita la pérdida posterior a la recopilación de datos y la precisión en nuestro proceso de adquisición de datos.",English,,https://twitter.com/EROMOSELEJOHNA
Jose Abel Lovaco-Flores,,"The Carpentries México: Access, management and analysis of genomic data for beginners (ES)","Metagenomic analyses aim to explore the genomic diversity of communities in specific habitats by processing their DNA sequencing data. This analysis is achieved with specialized bioinformatics tools that often require prior programming experience. Additionally, beginners may have difficulties in building pipelines that range from analysing raw data to obtaining biological insights. “The Carpentries” community offers open lessons that are used around the world to analyse specialized data sets for people with no experience in the field, including a lesson for people working with genomic sequencing data. However, a lesson was missing that will address the specific challenges associated with metagenomics data and analysis. A metagenomics lesson has been created for “The Carpentries Incubator”, adapting and expanding on a Data Carpentry lesson. This lesson provides an introduction to programming, also guiding students in acquiring and manipulating metagenomic data, as well as executing commands with different software to carry out successful metagenomic analyses. It is important to note that this lesson was created by the Mexican community belonging to “The Carpentries”. This community is made up of bachelors, masters and doctoral students, as well as consolidated researchers in the area. To develop these specialized genomics courses, we held hackathons focused on creating lessons such as metagenomics and, more recently, pangenomics. In this talk we will cover the creation, improvement and perspectives of the content of this lesson, as well as its usefulness as a teaching resource for new instructors in the field and how it helps trainees who want to start metagenomic analyses from scratch.


","The Carpentries México: Acceso, manejo y análisis de datos genómicos para principiantes (ES)","Los análisis metagenómicos tienen como objetivo explorar la diversidad genómica de comunidades en hábitats específicos mediante el procesamiento de sus datos de secuenciación de ADN. Este análisis se logra con herramientas bioinformáticas especializadas que muchas veces requieren experiencia previa en programación. Además, los principiantes pueden tener dificultades para construir pipelines que sirvan desde analizar datos sin procesar hasta la obtención de conocimientos biológicos. La comunidad “The Carpentries” ofrece lecciones abiertas que se utilizan en todo el mundo para analizar conjuntos de datos especializados para personas con nula experiencia en el campo, incluida una lección para personas que trabajan con datos de secuenciación genómica. Sin embargo, faltaba una lección que abordará los desafíos específicos asociados con los datos y análisis de metagenómica. Se ha creado una lección de metagenómica para “The Carpentries Incubator”, adaptando y ampliando una lección de Data Carpentry. Esta lección proporciona una introducción a la programación, también guía a los estudiantes en la adquisición y manipulación de datos metagenómicos, así como en la ejecución de comandos con diferentes software para llevar a cabo análisis metagenómicos con éxito.  Es importante destacar que esta lección fue creada por parte de la comunidad mexicana perteneciente a “The Carpentries”. Dicha comunidad está compuesta por estudiantes de licenciatura, maestría y doctorado, así como por investigadores consolidados en el área. Para desarrollar estos cursos especializados en genómica, llevamos a cabo hackatones enfocados en la creación de lecciones como la de metagenómica y, más recientemente, la de pangenómica. En esta charla abordaremos la creación, mejora y perspectivas del contenido de esta lección, así como su utilidad como recurso didáctico para nuevos instructores en el campo y cómo ayuda a los aprendices que deseen iniciarse en los análisis metagenómicos desde cero.


",Español,fabe134,@JALF4170
Juan Pablo Marin Diaz and Juliana Galvis,,"Community driven data interoperability: the case of a local government, a research institution and a small media organization (EN)","This talk explores the transformative power of open data in fostering public participation and informed decision-making. We delve into three compelling use cases: Mexico City's innovative open data portal, a Colombian research institute's collaborative biodiversity data project, and a Spanish newsroom's integrative approach to data-driven journalism. Each case highlights the challenges and breakthroughs in constructing platforms that democratize information via visual uses of the data. In Mexico City, citizens can upload personal data to the city's portal, intersecting it with official datasets, enhancing transparency and community engagement. Colombia's case showcases a network collaborators weaving indigenous wisdom with scientific research to map biodiversity, emphasizing the value of diverse knowledge systems. The Spanish newsroom scenario illustrates how consolidating varied data sources creates impactful, verifiable reporting on critical issues. These examples underscore the complexities of building accessible, user-friendly platforms while maintaining data integrity and security. Key learnings include navigating technical, cultural, and ethical considerations to create tools that not only present data but also actively engage communities in meaningful public discourse. This session aims to provide insights into leveraging open data as a catalyst for civic action and societal change.","Interoperabilidad de datos impulsada por la comunidad: el caso de un gobierno local, una institución de investigación y una pequeña organización de medios (EN)","Esta charla explora el poder transformador de los datos abiertos para fomentar la participación pública y la toma de decisiones informada. Profundizamos en tres casos de uso convincentes: el innovador portal de datos abiertos de la Ciudad de México, el proyecto colaborativo de datos sobre biodiversidad de un instituto de investigación colombiano y el enfoque integrador del periodismo basado en datos de una redacción española. Cada caso destaca los desafíos y avances en la construcción de plataformas que democratizan la información a través de usos visuales de los datos. En la Ciudad de México, los ciudadanos pueden cargar datos personales en el portal de la ciudad, cruzándolos con conjuntos de datos oficiales, mejorando la transparencia y la participación comunitaria. El caso de Colombia muestra una red de colaboradores que entrelazan la sabiduría indígena con la investigación científica para mapear la biodiversidad, enfatizando el valor de los diversos sistemas de conocimiento. El escenario de la redacción española ilustra cómo la consolidación de diversas fuentes de datos crea informes impactantes y verificables sobre temas críticos. Estos ejemplos subrayan las complejidades de crear plataformas accesibles y fáciles de usar manteniendo al mismo tiempo la integridad y seguridad de los datos. Los aprendizajes clave incluyen navegar por consideraciones técnicas, culturales y éticas para crear herramientas que no solo presenten datos sino que también involucren activamente a las comunidades en un discurso público significativo. Esta sesión tiene como objetivo proporcionar información sobre cómo aprovechar los datos abiertos como catalizador para la acción cívica y el cambio social.",English,https://github.com/jpmarindiaz,https://twitter.com/jpmarindiaz
Juan Pablo Ruiz Nicolini and Paula Luvini ,,"Data and State, related issues (EN)","In public administration, obtaining accurate data is essential for effective decision-making and policy design. However, the available data are often imperfect. A ""Smart State"" approach, as we define it at Fundar, recognizes the value of data, its organization, classification, the incorporation of alternative sources of information and the promotion of interoperability, which together contribute to improving the quality of data and public policies. This presentation seeks to illustrate this based on a selection of cases and applications of State organizations in Argentina. A work from the Data area of www.fund.ar","Datos y Estado, asuntos vinculados (ES)","En la administración pública, la obtención de datos precisos es fundamental para la toma de decisiones y el diseño de políticas eficaces. Sin embargo, los datos disponibles a menudo son imperfectos. Un enfoque de ""Estado inteligente"", tal como lo definimos en Fundar, reconoce el valor de los datos, su organización, clasificación, la incorporación de fuentes alternativas de información y la promoción de la interoperabilidad, que en conjunto contribuyen a mejorar la calidad de los datos y de las políticas públicas. Esta presentación busca ilustrarlo a partir de una selección de casos y aplicaciones de organizaciones del Estado en Argentina. Un trabajo del área de Datos de www.fund.ar ",Combinación/Combination,TuQmano,TuQmano
Julio Zetter Patiño,,Dataverse SciELO México: open data repository for Mexican science (ES),"The objective of this talk is to promote and consolidate the national open data repository 'Dataverse: SciELO México', which aims to provide a space where researchers can deposit and share their data sets in a structured, standardized, simple and limited way. By adopting open data practices, we seek to improve the reproducibility of studies, encourage collaboration between researchers, and maximize the impact and reach of Mexican research.",Dataverse SciELO México: repositorio de datos abiertos para la ciencia mexicana (ES),"El objetivo de esta charla es promover y consolidar el repositorio nacional de datos abiertos 'Dataverse: SciELO México', el cual tiene objetivo proporcionar un espacio en donde los investigadores puedan depositar y compartir sus conjuntos de datos de manera estructurada, estandarizada, sencilla y acotada. Al adoptar prácticas de datos abiertos, buscamos mejorar la reproducibilidad de los estudios, fomentar la colaboración entre investigadores y maximizar el impacto y alcance de las investigaciones mexicanas.",Combinación/Combination,,
Kelsey Badger,she/her,Introduction to Public Interest Technology (EN),"Public interest technology (PIT) is an umbrella term for anyone that strives to make our technology-driven world more equitable through the design, use, and governance of technology. This is an inherently multidisciplinary task that requires collaboration between stakeholders from a range of fields, sectors, and lived experiences. This session will introduce the field of PIT and will explore its application through an example project of the US-based PIT University Network (PIT-UN). The speakers will present their work developing spreadsheet-based open educational modules for teaching data science to high school students within the context of public health. Additional examples of PIT-UN projects will also be provided to illustrate the breadth of PIT as a field, such as cybersecurity clinics for local governments and nonprofits and university programs engaged in training a new generation of the PIT workforce.",Introducción a la Tecnología de Interés Público (EN),"Tecnología de interés público (TIP) es un término general para cualquiera que se esfuerce por hacer que nuestro mundo impulsado por la tecnología sea más equitativo a través del diseño, uso y gobernanza de la tecnología. Esta es una tarea inherentemente multidisciplinaria que requiere la colaboración entre partes interesadas de una variedad de campos, sectores y experiencias vividas. Esta sesión presentará el campo de TIP y explorará su aplicación a través de un proyecto de ejemplo de la Red Universitaria TIP (TIP-UN), con sede en EE. UU. Los oradores presentarán su trabajo en el desarrollo de módulos educativos abiertos basados en hojas de cálculo para enseñar ciencia de datos a estudiantes de secundaria en el contexto de la salud pública. También se proporcionarán ejemplos adicionales de proyectos TIP-UN para ilustrar la amplitud del TIP como campo, como clínicas de ciberseguridad para gobiernos locales y organizaciones sin fines de lucro y programas universitarios dedicados a capacitar a una nueva generación de fuerza laboral de TIP.",English,,
