id,name,title,abstract,img,github,twitter,slides_url,talk_url
dbaker,Dylan Baker,Datasets Have Worldviews: Understanding Classification In Your Data,"The classification schemes that structure our datasets come with their own politics and histories. How do we uncover the values underpinning our data classification schemes, and what do we do when we find them? In this talk, we start by diving into the harmful real-world effects that different classification schemes can have. Then, we explore ways we can uncover the values hiding in our own data, and highlight different ways to mitigate harms perpetuated by the (always-imperfect) categorizations we make.",https://drive.google.com/file/d/1_A5VjjAih4RQEJd5dn68XjKKl5nwrJjQ/view?usp=share_link,,dylnbkr,,
dgonzales,David Gonzalez,Cómo encontrar pistas para tus investigaciones en cientos de datasets usando Aleph,"Descripción: ¿Tienes bases de datos propias que te gustaría cruzar con otros datasets para ver si nombres de empresas y personas aparecen mencionados? ¿Tu redacción/organización trabaja con muchos PDF y necesitás una herramienta que extraiga el texto para poder hacer búsquedas de palabras clave? ¿Tienes una carpeta de documentos que quieres trabajar de manera segura con tus colegas?
¡Aleph puede ayudarte! Esta plataforma creada por OCCRP creada ayuda a periodistas, activistas e investigadores a ""seguir el rastro del dinero"". Su modelo de organización de datos, llamado Follow the Money (FTM) permite organizar grandes bases en un entorno seguro para encontrar conexiones entre personas y empresas a través del cruce de entidades en los datasets. 
Durante la sesión mostraremos cómo usar la herramienta a través de ejemplos concretos y de investigaciones reales. Nuestro demo en vivo, facilitará la conversación y preguntas con la audiencia.",https://www.occrp.org/en/aboutus/staff/eduardo-goulart,,deolhonosdados ,,
elkisa,Emma Laura Kisa,Opening up African Data,"A lot of data published by African governments and other institutions are stuck in pdf reports or websites. To solve this problem, Code for Africa built an open data portal called openAFRICA which is the continent's largest volunteer-driven portal. openAFRICA contains more than 6,000 African related datasets on various topics that are in a machine-readable format. openAFRICA promotes liberating data and the reuse and sharing of this open data.",https://drive.google.com/file/d/1gWeLscUj5tYZNojoPcVxL45AJ5Gikjav/view?usp=sharing,,ELNamwanje,,
ekarev,Evgeny Karev,Frictionless Application (IDE for CSV),"This talk will present a new data management IDE for CSV and other formats that provides functionality to describe, extract, validate, and transform tabular data. It's a logical continuation of the Frictionless Data project's standards and software with a focus on the non-technical audience: data publishers, librarians, and, in general, people who prefer visual interfaces over command-line interfaces and programming languages.",https://media-exp1.licdn.com/dms/image/C4D03AQEkDaXReUCMJg/profile-displayphoto-shrink_400_400/0/1589806579438?e=1673481600&v=beta&t=OwUxnWGUjHcoNsxVxMYi-jqXK5IEbYgV-VeYbt_Rkf4,roll,,,
,Esha Datta,What are you? Automating journal subject classification,"Traditionally, journal subject classification was done manually at varying levels of granularity, depending on the use case for the institution. Automating classification work surfaces questions about the relevance of the taxonomy used, the potential bias that might exist, and the texts being classified. Currently, journals are classified using various taxonomies and are siloed in many systems such as library databases or software for publishers. Providing a service that can automatically classify (and provide a measure of accuracy!) a text outside of a specific system can democratize access of this information across all systems. Crossref provides a range of services to the research community; we have a wealth of metadata deposited by the community. We wondered how we could contribute in this area. I will be talking about the ways in which I processed journal metadata, generated features based on that, ran machine learning models, measured their accuracy, and experimented with word and sentence embedding with Allen AI’s Scibert and other deep learning models. As a work in progress, I look forward to sharing more details in the talk, including the efficacy of the automated system in place as well as talking about the taxonomies investigated so far.",,eshadatta-crossref,,,
fppenna,Félix Pedro Penna,Datos de contrataciones públicas: dónde encontrarlos y cómo utilizarlos,"¿Cuánto dinero gastan los gobiernos para llevar adelante sus políticas públicas? ¿Es posible saber cuáles son los bienes o servicios que demandan y cuánto pagan por ello? ¿Quiénes son las personas y empresas que más se benefician de estos contratos? Los datos abiertos de contrataciones son una herramienta poderosa para responder a estas y otras preguntas y ofrecer información valiosa para ciudadanos y organizaciones de todo el mundo. En esta conversación se presenta el Data Registry de Open Contracting Partnership, uno de los más grandes repositorios de datos de contrataciones públicas, que disponibiliza cientos de GB de datos (¡estandarizados!) en formatos abiertos. Los datos se vuelven útiles cuando se utilizan: como bonus track, esta presentación indica cuáles son los pasos claves para sacar provecho de los datos en el monitoreo del gasto público o la búsqueda de oportunidades de negocio. ",https://drive.google.com/file/d/1omeVgUmuE53CZm3iLWS6HTmj-FmWQevf/view?usp=share_link,fppenna,fppenna,,
faruiz,Fernanda Aguirre Ruiz,Organize your data analysis; use a project template,"Every time we start a data-driven project, we invest part of our time creating and configuring that new project. However, with the help of Cookiecutter it is enough to execute a command to have the whole procedure solved by means of a project template.  When we work with data, we handle different versions of our databases, graphics and code files. This can result in disorganized and difficult to access projects, so when we use project templates we can automate this repetitive work by creating files and folders structured in a certain way to help us easily locate the different sections and standardize our projects. At the same time we can also automate more complex proceedings that we have incorporated in our workflows, such as installing certain libraries, starting git repositories, creating virtual environments, among many other possibilities.  ",https://drive.google.com/file/d/17q9lyLSZtSSzygGoBsRJvJABxx7_sOwr/view?usp=sharing,fer-aguirre,feragru,,
fcampagnucci,Fernanda Campagnucci,Querido Diário': how an open source project is freeing official municipal records for 45 million people in Brasil (and counting!),"There are 5,570 cities and 26 states with the autonomy to design and implement policies in Brazil. Since there is no centralized place to look for the decision-making acts of these entities, the only reliable source of information is the official gazettes (or records), published in a closed and unstructured way in PDF files. The manual work of analyzing this mass of information is virtually impossible. To fill this data void, ​​we created an infrastructure capable of collecting, processing, and openly making this information available. The ""Querido Diario"" (""Dear Diary"" – a witty wordplay in reference to the official gazettes in Portuguese) MVP was launched more than a year ago and has been scaled and improved since then. With the help of a vibrant community, it has collected the entire time series of official diaries, creating a repository of more than 144,000 files, and started collecting them daily.",https://drive.google.com/file/d/1Ip1fmhd0ogDIM2Vj3DpzUQxgbQQiErkz/view?usp=share_link,campagnucci,fecampa,,
fakara,Florence Akara,Inclusive data narratives - decolonising data for Africa,"Universal access to data and tech can only be achieved by engaging from the bottom up. The challenge, however, lies in the narrative it holds for many Africans, particularly in rural areas. Colonization taught our African forefathers to survive, and this was passed down through generations. To openly engage with tech and data is not a usual thing in our community, the survival mode is to prevent it from infiltrating our communities, particularly the rural ones. Tech and data are categorised as skilled professions, and many, even myself, find ourselves apprehensive about the potential threats, and weaknesses we could expose ourselves by engaging in it. In East Africa, people are daily victims of data infringements and fraud, women in particular. It doesn't help that most data and tech programs are often led by non-locals and men; ineffectively distancing the women, and local communities from feeling like active participants or collaborators in any tech or data agendas. Because they are often expensive, data and tech are perceived as inaccessible for the lower economic communities, and a luxury for most people in general. Governments themselves don't have adequate resources to properly train and engage local communities, which means its access is inevitably limited. The lack of locally accessible, free or affordable data and tech, fails to match the need for legitimate equitable access. This results in fewer people engaging in data, because of a lack of adequate information to make informed decisions about the type of data they are comfortable sharing, its storage and usage - outweighing much interest in engaging in it. Sharing stories, and developing a new narrative for data inclusion in Africa, abolishing the hierarchies of who can use data, by enabling local actors to equally access them without cost barriers. Spotlighting women and girls in particular, engaging without fear of online exploitation, or abuse, prioritising feminist values so they do not shy from self-marketing, and building their capacity so they can adopt it to their communities, will alleviate a significant barrier to the data inclusion agenda. Better access to tech and data will result in significant improvements to impact investment and achieve SDG impact. My initiative, collabo254 is working to invest in local organisational development, ensuring that their capacity, particularly in updating its use of basic, free tech tools to collect data. Designed from my own experience running a nonprofit for over 5 years, and forced to learn to self-design from google suites tools and another free basic tech, to fit our local team needs, and user challenges and align with our model of reporting to better manage records of our impact without breaking the bank. The idea is to make data and tech not appear as threatening and work with local faces and names, so that communities can see themselves represented in data spaces, to alleviate the fear of actively engaging.",,,FemmeInt,,
gmejias,Gabriela Mejias,Open research needs open (meta)data,"Metadata plays a key role in the scientific publication and dissemination process. It is only through metadata and identifiers  that each contribution, from research data to  article publication and beyond, becomes findable, accessible, interoperable and reusable. Persistent identifiers (PIDs) and their metadata are the backbone of scholarly communications, since only through them can the promise of sustainable access to research information be realized.  This presentation will highlight the importance of open metadata in scholarly communications to recognize a wide range of contributions to science and as a way to build trust in research.  We will also discuss the need for collaborative, community efforts to improve metadata creation and dissemination. Examples of organizations and researchers using open metadata will be presented.",https://datacite.org/team.html,gmejias,gabioshka,,
grosati,Germán Rosati,Land use trajectories as text data,"How does land use change over time? Can agrarian frontier expansion and deforestation be detected in high resolution images over a long period of time? This question has implications in both environmental and socio-economic dimensions. Since the publication of large government databases derived from processed satellite images, new analytical and methodological approaches have emerged
Problems of this kind are usually addressed by aggregating information at higher levels (municipalities, departments, administrative areas). For this talk we propose another approach: to work at the pixel level. We will represent each land use pixel sequence over time as if it were a word. This makes it possible to use the so-called “edit distances” (which measure the number of operations necessary to transform one sequence into another) and to generate a matrix that allows clustering land use trajectories using simple techniques. 
We will present an illustration of this procedure covering the 1992-2020 period in Argentina (excluding Patagonia region), using information from the European Space Agency and Dynamic World. Our main goal is to obtain a map with the highest possible resolution that shows the following situations: 1) areas of recent expansion of the agrarian frontier; 2) areas of “consolidated” agriculture and 3) areas of recent urban expansion. We will present some cool visualizations of these trajectories and their spatial distributions.",http://investigadores.unsam.edu.ar/rest/img/fotos/Rosati-German-Federico.jpg,gefero,Crst_C,,
gsollazzo,Giuseppe Sollazzo,Keynote - Talking with data – stories and lessons from my data adventures,"Before his current role in the UK National Health Service as Deputy Director of the Artificial Intelligence Lab and Head of AI Skunkworks, Giuseppe's career journey included being a data wrangler, an open data activist, a computational research data support officer, and the Head of Data of a Government Department. This keynote will tell some stories from this 15-year long journey, and share the lessons Giuseppe has learned.",,,,,
hdebat,Humberto Debat,Virus discovery at a global scale: a sustainable blueprint based on secondary analyses of open sequencing data,"Viruses are the most prevalent biological entities on earth. Notably, conservative estimates suggest that over 99.9% of the virosphere remains elusive. In this talk I will present novel strategies oriented to uncover the global viral dark matter based on secondary analyses of publicly available open sequencing data. Examples of robust detection and characterization of novel viruses with zoonotic competence with a focus in Latin America will be described. The potential impact in virus emergence and pandemic prediction will be discussed.",https://drive.google.com/file/d/1Cbio70qgFuvvaojlaAbpT70FyCoU-CcO/view?usp=drivesdk,humbertodebat,humbertodebat,,
irpérez,Irene Ramos Pérez,Demostrar a personas usuarias y fuentes de financiamiento el valor público del Sistema de Información de Agrobiodiversidad en México,"Presentaremos las estrategias que hemos implementado para demostrar a personas usuarias y a fuentes de financiamiento el valor público del Sistema de Información de Agrobiodiversidad (SIAgroBD) de la Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). CONABIO es una institución gubernamental que compila, analiza y publica datos relacionados con la biodiversidad y los recursos naturales en México. El SIAgroBD forma parte del Proyecto GEF de Agrobiodiversidad Mexicana, que tiene a la FAO como agencia implementadora. El objetivo del SIAgroBD es generar, sistematizar y publicar datos abiertos relacionados con cultivos nativos de relevancia global, incluyendo información biológica, geográfica, agronómica, nutricional y cultural. Compartiremos los retos que hemos enfrentado para abogar por el desarrollo y mantenimiento del SIAgroBD con diferentes actores clave, como fuentes de financiamiento y personas usuarias, así como las estrategias para atenderlos. En particular, destacamos la necesidad de construir un piso común sobre las funcionalidades de un sistema de información a través del  desarrollo de capacidades; la incorporación de procesos de retroalimentación con la comunidad de usuarios, por ejemplo, mediante encuestas o grupos focales; y el diseño de narrativas adaptadas a las expectativas de diferentes perfiles de usuarios. Estas estrategias nos han ayudado a comunicar los alcances del sistema, a promover la adopción de nuestras herramientas y, de forma más amplia, mostrar cómo el SIAgroBD puede apoyar la toma de decisiones en temas de conservación y seguridad alimentaria. Las lecciones que hemos aprendido podrían ser útiles para otros proyectos que requieran demostrar el valor público de infraestructuras para datos abiertos, en contextos donde hay incentivos limitados para estos desarrollos.",https://drive.google.com/file/d/19exNgJXA-I9vZODrBtHKJmuTspxpxNpW/view?usp=share_link,iramosp,,,
ifeldfeber y yquirog,Ivana Feldfeber y Yasmín Quirog,Recolectando datos sobre violencias de género en los poderes judiciales latinoamericanos,"En esta charla presentaremos el trabajo en conjunto que estamos realizando desde DataGénero - Observatorio de Datos con Perspectiva de Género y el Juzgado N°10 Contravenciona, Penal y de Faltas de la Ciudad de Buenos Aires, para construir una herramienta (software) que genere datos estructurados a partir de datos no estructurados. Nuestro software se llama AymurAI que en quechua significa cosecha. Queremos ""cosechar"" datos sobre resoluciones judiciales sobre casos de violencia de género. Nuestra herramienta utiliza reglas y reconocimiento de entidades (NER) para extraer información clave de documentos judiciales, pasa por una pantalla de validación y luego estructura la información recolectada en un set de datos abiertos con perspectiva de género. A través de este proyecto queremos promover la justicia abierta, el gobierno abierto, los datos abiertos con perspectiva de género y la visibilización de problemáticas urgentes a través de los datos.",https://drive.google.com/file/d/1nIIDLYoYFepZ1rGWOZD_l239Yu_Dl9mB/view?usp=share_link,ivanafeldfeber,ivanafeld,,
jformoso y lascenzi y mrajngewerc y ploto,Jesica Formoso y Laurel Ascenzi y Mariela Rajngewerc y Patricia Loto,Comunidades de práctica en Latinoamérica y su influencia en la difusión de la ciencia abierta,"El movimiento de ciencia abierta emerge en los últimos años como respuesta principalmente a las crisis de replicabilidad y reproducibilidad por la que atraviesan distintas ramas de la ciencia y busca garantizar la transparencia de los trabajos de investigación compartiendo las distintas etapas del flujo de trabajo. Más recientemente, distintos organismos han comenzado a promover estos valores desde el desarrollo de políticas públicas y la financiación de proyectos Sin embargo, estas medidas varían mucho dependiendo de la región. Un instrumento posible para la difusión de la ciencia abierta, potencialmente con más aceptación de los usuarios, son las comunidades de práctica, grupos auto-organizados y auto-mantenidos de personas que comparten una preocupación o pasión por algo que hacen y aprenden a hacerlo mejor a medida que interactúan con regularidad. Se ha observado un gran crecimiento de estas comunidades en los últimos años en Latinoamérica, muchas dirigidas a reducir la brecha de género en STEAM como R-Ladies, PyLadies, GeoChicas, TecnoLatinas y Women in Bioinformatics and Data Science Latin America, otras enfocadas en transmitir habilidades para enseñar herramientas computacionales como The Carpentries o dedicadas a enseñar herramientas y prácticas de ciencia abierta como MetaDocencia. En este contexto, nos preguntamos cuál es el rol de las comunidades de práctica en la difusión e implementación de prácticas de ciencia abierta en general, y específicamente, en la región de Latinoamérica. Para ello, realizamos un análisis exploratorio de la evolución del uso de los términos “ciencia abierta” y “open science” con el tiempo de 2012 a la actualidad. Se estudió, en aquellos casos en que existía información al respecto, la representación de cada región. Finalmente, se realizó un análisis de redes sociales para identificar usuarios influyentes y agrupaciones de usuarios y luego se estudió la asociación de estos con comunidades de práctica.
Somos cuatro autoras: Jesica Formoso, Laurel Ascenzi, Patricia Loto y Mariela Rajngewerc",,MetaDocencia,metadocencia,,
jkerl,John Kerl,Miller: a swiss-army chainsaw for CSV and more,"Miller (`mlr`) is one of many command-line tools available for modern data processing. In this talk, we'll start from the basics of CSV manipulation: querying, sorting, converting to/from TSV and JSON, etc. We'll peek at some of the expressive things you can do using Miller's query language -- as well as some very simple and powerful things you can do without it. We'll see how Miller is useful for non-programmers as well as programmers: data analysts, system admins, researchers, etc. https://miller.readthedocs.io/en/latest/",https://johnkerl.org/pix/heads-icons-etc/jk-2020-09.jpg,johnkerl,hachyderm.iojohnkerl,,
jddsantos,Juan De Dios Santos,Baking bread on Sundays makes me happy,"I've been tracking my mood and activities for over 1000 days. What started as a time sink eventually became my daily meditation; my time to recap the day's moments, be genuine with myself, and ask, ""how am I feeling?"" This talk is a journey that explains how I felt during those 1000 days and how my daily activities influence my mood. This talk, which will be my most personal and intimate, will contain data visualizations, statistics, time series analysis, and fun anecdotes covering a range of emotions.",https://photos.app.goo.gl/S5e6q6tV8QdRQZc5A,juandes,jdiossantos,,
jprnicolini,Juan Pablo Ruiz Nicolini,Abrir los datos y procesos de las estadísticas públicas de turismo en Argentina,"La Dirección Nacional de Mercados y Estadísticas (DNMyE) de la Subsecretaría de Desarrollo Estratégico del Ministerio de Turismo y Deportes de la Nación (MTyD), es la responsable de las estadísticas de turismo en el marco del sistema estadístico nacional de Argentina. La presentación cuenta la experiencia de cómo implementamos flujos de trabajo reproducibles y abiertos en un equipo que produce, consolida y analiza estadísticas públicas. ",https://tuqmano.ar/images/logo.png,TuQmano,TuQmano,,
kljordan,"Kari L. Jordan, PhD","csv,conf Community Building with The Carpentries Toolkit of IDEAS","The Toolkit of IDEAS (Inclusion, Diversity, Equity and Accessibility Strategies) is a practical resource that connects teaching foundational coding and data science skills to principles of inclusion, diversity, equity, and accessibility. In this session, Kari L. Jordan (Executive Director for The Carpentries) introduces the csv,conf community to the toolkit and identifies approaches for applying it to various community contexts.",https://drive.google.com/file/d/1406zezupHEiC-RZkpLJ5xGz2zetWDoz9/view?usp=sharing,kariljordan,drkariljordan,,
kram,Karthik Ram,Keynote,,,,,,
ksullivan ,Kathleen Sullivan ,Speed Bumps on the Road to Innovating with Government Open Data ,"Along with improving transparency and efficiency, open government data is supposed to support entrepreneurship, in the form of user-friendly apps and other business innovations. But the reality often falls short of the ideal. Developers who want to use government data run into poor data quality and documentation, insufficient off-the-shelf data products, limited options for automation and other stumbling blocks. The Washington state (US) open government data team will highlight common development barriers and ways to overcome them, using examples from state agencies’ efforts to open data on transit, internet access, legal cannabis, licensing and more.",,,,,
khoeberling,Katie Hoeberling,The role of data in addressing environmental and climate injustice,"Around the world, communities organize to address environmental pollution and respond to climate change. Data can provide support, prompting us to frame questions from new perspectives, emphasizing place-based stories and experiences, and connecting the broad range of people and institutions responsible for environmental governance and stewardship. But the barriers to data uptake are enormous – data collected by regulatory agencies, researchers, or mandated industry requirements are decontextualized. They do not adequately reflect local values and cultural knowledge that may be critically important to policy or regulatory change. On the other hand, communities must navigate complex laws and policies within dense legal landscapes before effectively sharing their data and experiences. This talk will explore the conditions necessary for making environmental data usable beyond its original intent, strengthening multi-directional flows to tell new stories and build informed solutions that center communities bearing the brunt of pollution and climate change. It will do so by highlighting efforts which are attempting to integrate community data in research and government decisions, and to make regulatory data more accessible to researchers, journalists, community organizations, lawyers, and others. We’ll discuss mechanisms and strategies for shifting social, political, and technical systems toward creating environmental governance and stewardship processes that work across sectors. ",https://www.openenvironmentaldata.org/people/katie-hoeberling,khoeberling,shrubberling,,
kbadger,Kelsey Badger,Data Management on the Front Lines: Managing Administrative Data at the Source,"Over the past decade, it has become increasingly common that funders require researchers to submit a data management plan detailing how data produced during the project will be documented, secured, and shared. However, there is no equivalent requirement for managing government data that is “born-administrative”, even if it is commonly used downstream for research purposes. This has resulted in an uneven patchwork of government data management practices that greatly impact the accessibility and usability of administrative data for both its original purposes and in any subsequent re-use. This talk will explore this challenge through the example of child welfare electronic case records in the United States. This data is a particularly complex case study due to both its sensitivity and the distributed nature of the child welfare service system, which relies heavily on privatized contractors. This creates a correspondingly long tail of data management needs that are often not addressed by top-down data governance policies. How can data management practices be incorporated earlier in child welfare data collection without further burdening overworked frontline staff? Are there lessons to be learned from the last decade of teaching researchers how to better manage their data? And whose responsibility is all this anyway? ",https://opic.osu.edu/badger.60?width=500&aspect=p,,,,
kmacpherson,Kevin MacPherson,The Jigsaw Puzzle of Cellular Identity,"Could you tell you were looking at a picture of the Mona Lisa if someone scratched off 99% of the image before handing it to you?
Scientists who try to explore how various cell types in the body maintain their specialized identities face a similar problem. Experiments that attempt to obtain the epigenetic profile of a cell barely scratch the surface of all the information encoded within it. In isolation, these results may be uninterpretable.
Returning to the Mona Lisa example, if you took your 1% remaining image and overlaid it on top of the actual Mona Lisa, you would know instantly what the original image was. My talk would discuss how this same thing applies to the field of epigenetics and how data curation of small files can help solve this problem.",,,,,
lburin,Laia Domenech Burin,#Menstruacción: How much does it cost to menstruate?,"EcoFeminita (https://ecofeminita.com/) is a non-profit civil association which aims to show and address gender inequality by disseminating data, statistics, academic content and original research targeting all audiences. For this talk, I’d like to present our report called “How much does it cost to menstruate?”, which estimates the annual cost of menstrual management products —pads and tampons— based on data obtained through web scraping the government's open-data source Precios Claros (https://www.preciosclaros.gob.ar/). This report is done in the context of the #MenstruAcción campaign, which attempts to accomplish two main goals. Firstly, to expose the importance of providing menstrual management products for free, since they are a basic healthcare element to which not all the population have access. Secondly, to break down the menstruation taboo and promote research and socialization of data about this topic. My talk will address the main demands of the campaign, and the importance of using data in order to fight inequality. I will also explain our open-data methodology, the results of our report, and the recent challenges we’ve been facing due to the lack of transparency of Precios Claros.",,ecofeminita,ecofeminita,,
lacion,Laura Acion,Keynote - Collective Creation of Open Science / Creación Colectiva de Ciencia Abierta ,"Communities of practice are key to develop and adopt Open Science, particularly in the Global South. In this talk, we will reflect on the value of developing connections to co-create work experiences and environments that increase the use of Open Science mostly in, but not limited to, Latin America. We will also consider recommendations based on our experiences to further build sustainable, local, and contextualized Open Science communities with a global connection. Most of the talk will be in English with captions in English throughout. 

Las comunidades de práctica son clave para desarrollar y adoptar la Ciencia Abierta, particularmente en el Sur Global. En esta charla, reflexionaremos sobre el valor de desarrollar conexiones para co-crear experiencias y ambientes de trabajo que incrementan el uso de Ciencia Abierta mayormente en, pero no limitados a, América Latina. También consideraremos recomendaciones basadas en nuestras experiencias para seguir construyendo comunidades de Ciencia Abierta sostenibles, locales, contextualizadas y globalmente conectadas. La mayor parte de la charla será en inglés con subtítulos en inglés en todo momento.",,,,,
