id,name,title,abstract,img,github,twitter
jfjawula,Jamila Farouk Jawula,Data Literacy 101: Learning by doing and fighting the imposter,"Everyone’s talking about how to do cool things with data programmatically and sharing loads of resources that could make you a data geek, yet you’re still struggling to find your feet and confused about where and how to start learning amidst it all. Is it overwhelming to filter through all the noise of AI, Machine Learning, Data Science, Python, R, etc? 

I walked these shoes about two years ago when I decided to ditch a Bachelors in Accounting and pursue something that just started out as a mere curiosity. From thinking I wanted to become a chartered accountant, web developer, data scientist, program manager and even an entrepreneur that pursued investor funding and all the shades in between. I finally find myself as a data analyst today.

Want to listen to a story of how a black muslim female navigated this journey from a purely unconventional background to now working as a data analyst with a global organization on a mission that’s saving the lives of many? Or the lessons I've learned from the good, not so good and terrible decisions I made along the line ? Join me as I take you on a truly inspirational journey of becoming a data geek!
",jfjawula,jfarouk,@jamilafarouk_j
mgranados_lzhao,Monica Granados and Lily Zhao ,How Frictionless Data can help you grease your data,"I think we have all been subject to other people’s data - the frustration and the disappointment that follows when we determine that the data is unusable. The Frictionless Data initiative at Open Knowledge Foundation aims to reduce friction in working with data, with a goal to make it effortless to transport data among different tools and platforms for further analysis, and with an emphasis on reproducible research and open data. As inaugural Reproducible Research Fellows of the program, we will demonstrate how we have applied the principles and tools of Frictionless Data to our own research  data on the octopus trade and open access bibliometric data to make our data more reusable by others. This talk is aimed at all data wranglers, and along the way we will talk about our experience in the fellowship, what were some difficulties, and about our triumphs. Monica Granados on Twitter:@monsauce. Lily Zhao on Twitter: @lily_z_zhao.
",mgranados_lzhao,monsauce; lilyzzhao,
jmuyskens,John Muyskens,Data Journalism in the Anthropocene,"From networks of thousands of ground-based sensors to constellations of satellites, a flood of data creates an increasingly clear picture of our impact on Earth. I will share my experiences as a journalist who uses data and visuals to cover climate change and other environmental issues. I will also talk about how we at The Washington Post use (and create) publicly accessible data in our journalism. ",jmuyskens,jmuyskens,JohnMuyskens
ksimeon,"Katherine Simeon (presenting author), Diya Das, and Angela Li",Learner-centered teaching for the non-traditional data science classroom,"There is considerable variability in how individuals learn computing skills. While many formal courses, both online and in-person, are available to learners, typical methods of learning are acquiring knowledge on-the-job and participating in short-term workshops. While these non-traditional contexts are highly successful, instructors are challenged to capitalize on a limited amount of time and resources, while catering to learners of different backgrounds and experience levels. In this talk, we will discuss how pedagogic research can be applied to computing and programming education in non-traditional settings (e.g., corporate training, 1-day workshops, and one-on-one mentorship). Specifically, we will explore how to modify established learning formats in order to address specific needs of learners. Finally, we will outline best practices to facilitate a collaborative and inclusive learning environment that can motivate both instructors and learners.",ksimeon,katherinesimeon,
sctho,Salina Cheuk Ting Ho,Decision making in 'successful' data analysis,"As the tech world continues to abstract away complexities and realities into proxy metrics, data and analysis can present itself as objective and builds a reputation of legitimacy. However, in practice there are many dynamics to data analysis that contribute to the determination of whether an analysis is ‘successful’ or not, many of which exists outside of the data itself. This is why the same regression model can be accepted as ‘successful’ in one context but not in another. Understanding the interplays between data and different factors can help analysts strategize to deliver a ‘successful’ analysis, such as applying design-thinking, storytelling, and empathy techniques. Many discussions within the data community have taken place regarding these techniques and its importance, but few have discuss the ethical impact of such techniques – what are the implications if an analysis crafted through a specific lens is ‘successful’? This talk will go through the various dynamics that contribute to a ‘successful’ analysis, and how intentional decision making at each level of these dynamics is important in data analysis.  ",sctho,,@shohct
asnitcofsky,andres Snitcofsky,How simple spreadsheets helped us spread gender perspective in Argentine politics,"In Economía Feminista we try to get the feminist perspective in usual male dominated areas as Politics and economics. Through the use of simple spreadsheet born interactive and digital projects we did just that with minimum resources: A crowdsourced database to pre-whip / figure out congress votes on legal abortion, a twitter bot that shows the lack of women in op-ed every day, an automated scrapper to monitor menstruation ""cost"", a feminist index for candidates for 2019 election and other small feminist nerd projects",asnitcofsky,https://github.com/Ecofeminita,@rusosnith
skenya,Soila Kenya,Error 404: Data Archival from a journalist's perspective,"Have you ever read an awesome interactive article online from your favourite news source and clicked on a link that landed you on an error 404 page? Or a now-deleted tweet? In all the rage of data journalism, one thing that needs to be put at the forefront is the necessity of archiving data used within these news stories for posterity. Decades from now, we should still have full access to these stories in the way they were originally meant to be consumed. This talk will cover a few tips data journalists can start using NOW to ensure the links they use to give more context to their stories will live on.",skenya,soilakenya,@soila_kenya
vsteeves_snguyen,Vicky Steeves and Sarah Nguyen,commit- ment issues with Git: investigating and archiving y’alls work,"Git and platforms like GitLab and GitHub have revolutionized how people track and share their work. This reality brings librarians to an interesting crossroad as they move to understand, inventory, archive, and preserve source code and its contextual ephemera, such as commit messages, merge requests, and issue discussions. This talk from a project team of research scientists and librarians will share how Git breaks barriers and promotes open research and scholarship, as well as identify ways it can be archived for the long-term citation and reproducibility. Part environmental scan, part behavioral study, we will discuss the ins-and-outs of a researcher’s Git hosting platform experience and digital preservation tools that can be creatively used in Git preservation efforts.",vsteeves_snguyen,VickySteeves,VickySteeves
dbernstein,Daniel Bernstein,Getting to CSV: Unlocking Public Data in the Civil Justice Space,"Many Americans are forced to navigate the civil justice system without an attorney because they cannot afford representation. To better support self-represented individuals, we need detailed information about these individuals’ experiences. Data documenting the parties, events, and outcomes in court cases could help legal aid organizations better address their local needs and court systems better manage public resources. However, state and local courts operate their own data management systems and do not make this information readily available in a format suitable for analytical purposes. Courts also vary drastically in the granularity of their public records, causing inconsistencies when attempting to compare data across jurisdictions. This talk will discuss our work to web scrape, manage, and analyze millions of civil court records to better understand how individuals without attorneys fare in the civil justice system, especially in important areas such as eviction, debt, and domestic violence. This talk will include lessons learned in creating massive datasets and promoting data sharing while maintaining data privacy. 
",dbernstein,danbernstein,danbernstein18
decer_etsang,Daniel Ecer and Emmy Tsang,PeerScout: Diversifying peer review with data and machine learning,"How does one find the most suitable peer reviewers for a research manuscript? Journal editors face this challenge every day– many resolves to choose based on their own networks and past experience. This introduces biases in the peer-review process. In this talk, we share our journey on building PeerScout, an open-source machine learning solution. We will explore the challenges we are facing with analysing data and research papers, and what we learnt working with the editorial and wider communities.",decer_etsang,,eLifeInnovation
hye,Hao Ye,Accessibility and reproducibility in ecological time series analysis,"Although many scientific datasets are now shared openly and there are numerous tools for reproducible research, many barriers remain. Datasets are diversely structured and dispersedly situated; most domain scientists lack formal training in data management, software development, or reproducible research; and learning these skills or assembling a skilled team requires a large investment of time and/or resources. To resolve these challenges, we built MATSS (Macroecological Analysis of Time Series Structure), an R package that provides access to over 80,000 ecological time series in a standardized format and promotes best practices in computational research through reproducible and shareable templates of full workflows bundled as research compendia ~ Marwick et al. 2018.",hye,ha0ye,Hao_and_Y
balicea,Bradly Alicea and Jesse Parent,Epistomological Directories for Research Development and Education,"Learning and research involves more than simply looking things up on Wikipedia. The presenters propose a Github-based system for advancing research and interdisciplinary education called Epistomological Directories (EDs). We will present two versions of this: one for topics in Cybernetics and Systems and the other on Frontier Maps for education in AI, Philosophy, and Systems Science. Unlike conventional topical wikis, our approach serves as a set of research nodes, each of which contain a take-off point for other nodes. Each node (defined as a Markdown file or folder) might be based on interpretations of key papers in the field, or proposing new research directions based on a given research group's activities. At some nodes, we also plan to include annotated data in the form of .csv files (data tables) and .ipynb files (Jupyter notebooks), which serve to provide information about sample data for a topical domain, or for more theoretical topics what the data should look like (pseudo-data). Frontier Maps also serve the purpose of providing minimal information needed to understand jargon and advanced topics in fields unfamiliar to the user. More generally, EDs can serve as a tool for theory-building, self-directed education, and collaboration by bringing people up to speed on niche topics. They might also be used to engage in meta-research for special topics and published papers.",balicea,balicea,@balicea1
ehagen,Erica Hagen,Open Mapping and Government Projects in Kenya: Map Kibera and the state of citizen data ,"Citizens in rural Kenya are collecting data and field mapping projects they've helped to choose through a local government participatory budgeting process. This talk will share how Map Kibera and GroundTruth Initiative recently used OpenStreetMap and ODK/Kobo to give citizens the tools to collect not only locations and data on projects, but also provide their opinion and assessment of the completion status and quality. Doing this jointly with local county governments has unearthed some major data management challenges. Systems are being set up new for governments created only 10 years ago by a new constitution, and flashy tech is mixed with messy paper records, creating a difficult data environment. However, it's also an opportunity for open data and citizen involvement in transparent governance. I will get into the details of the current policy, politics, and geospatial data environment in Kenya with a focus on how citizens have been included and excluded from the process to date and how we see things moving forward.",,ericahagen,@ricaji
lmoore,Lucille Moore,Open science in infant neuroimaging research,"Functional magnetic resonance imaging (fMRI) has allowed scientists to investigate brain circuitry underlying healthy and maladaptive behavior. As such, it is an essential tool for advancing understanding of brain systems underlying psychiatric disorders. Because fMRI is costly and time-consuming, sharing data and tools in this space is critical for driving forward scientific discovery. However, the field is still developing rigorous standards for not only data sharing, but also quality control in image processing and analysis. Standardization issues are magnified in infant fMRI, which presents unique challenges for processing and analysis due to substantial differences in image properties compared to adults. Infant fMRI is vital for research aimed at supporting healthy brain development and preventing the onset of psychiatric disorders. My talk will highlight burgeoning open science fMRI initiatives that will be vital to drive the field forward, including my group’s pending release of an existing state of the art imaging pipeline modified for infant processing. We are employing this pipeline in a clinical trial aimed at reducing the effects of early adversity on developing brain systems implicated in psychiatric disorders. Such efforts are critical for expanding the impact of neuroimaging in clinical- and policy-level efforts to support healthy brain development. ",lmoore,LuciMoore,@lucilleamoore
ayork,Amber York,"Recognizing un-FAIR data: Cautionary tales for data generators, managers, and users","FAIR Data Principles are a set of guiding principles in order to make data findable, accessible, interoperable and reusable (Wilkinson et al., 2016).  There are a number of pitfalls that data generators, managers, and publishers can encounter which result in un-FAIR data.  I will go over what FAIR data means, and how we choose to implement FAIR practices at BCO-DMO, a data repository that handles NSF-funded biological and chemical oceanography data.  

Highlights will include real-world cases of FAIR and un-FAIR data, and thought exercises to help recognize un-FAIR data.  I will briefly show some of our recent efforts at BCO-DMO which include a data access API, and a data processing and provenance capture tool called Laminar which uses frictionless datapackage pipelines and was built during a pilot project with the Open Knowledge Foundation.",ayork,adyork ,@amber_science and @BCODMO
cgosnell_pvirgo,Christina Gosnell and Pablo Virgo,Getting climate advocates the data they need,"When it comes to electricity regulation a little data can go a long way. There is a wealth of data about the US electric system, but unfortunately it is not accessible, clean or connected. The Catalyst Cooperative collates and analyzes data to help advocates close coal power plants. We’d like to share what we’ve learned about how open source data can further the policy conversation around clean energy, using real data and examples from our work. ",cgosnell_pvirgo,"ptvirgo, cmgosnell",
ycalberro,Yosune Chamizo Alberro,Sinapsis (Synapses): a piece of software that promotes the use of open data to discover connections between illegal companies that received public resources by corrupt governments in Latin America,"Mexico it’s an extremely corrupt country where politicians steal money without sanctions. Both in our country and in many others in Latin America the modus operandi is similar: government official create ghost companies, the government assigns projects to these fake businesses and the money disappears. How can we detect these companies? Animal Político (the news media in which I work) revealed The Master Scam investigation, where it was shown how the Federal Government disappeared 7,670 million pesos (around 400 million dollars) through 186 companies. This investigation won the National Journalism Award and would not have been possible without the use of Sinapsis. Sinapsis is an interactive tool to visualize relationships between businesses and government entities. The users will be able to see how companies and their personnel are interconnected. As a free, open-source project, Sinapsis is designed to help journalists, researchers, academic scholars, or students detect irregularities and suspicious or questionable activity in business interactions and practices. ",ycalberro,,@_yosune
lfederer,Lisa Federer and Maryam Zaringhalam (co-author),Data and Code for Reproducible Research,"The National Library of Medicine held two workshops in 2019 in which National Institutes of Health researchers attempted to reproduce the results of published bioinformatics paper that stated they made their data and code publicly available. Not a single one of the ten teams over two workshops could fully reproduce the results of the paper. Despite the teams’ inability to reproduce the results, the workshops provided valuable insights into where researchers are falling short in sharing and documenting their data and code. This talk will discuss some of the issues that contributed to the irreproducibility of these papers to provide a better understanding of how researchers can ensure that their science is transparent and reproducible.",lfederer,informationista,lisafederer
mkuzak,Mateusz Kuzak,Growing and Supporting Open and Inclusive Research Software Culture,"Research Software Engineering combines an intricate understanding of research with expertise in programming and software engineering. Making the process of contribution and participation in research software projects more inclusive and welcoming for a diverse audience will lead to the software better for all researchers. The complexity and domain specificity of research software poses unique challenges for community building and external contributions. How can we help researchers and Research Software Engineers  make their projects more inclusive for the users and contributors with different backgrounds? I hope to share some insight I gained working with different communities in the open science, research and data spaces, from global movements like the Carpentries and Mozilla Open Leaders, to local hacky hours, study groups and Reprohacks. I wish to discuss and explore with the community some of the practices that I think are transferable into the research software community and can help lower the barriers for contribution.",mkuzak,mkuzak,@matkuzak
lyohlsen,Lai Yi Ohlsen,Measurement Lab - Open Internet Data,"Measurement Lab (M-Lab) is the largest open internet measurement platform in the world, hosting internet-scale measurement experiments and releasing all data into the public domain (CC0). We are an open source project with contributors from civil society organizations, educational institutions, and private sector companies, and are a fiscally sponsored project of Code for Science and Society. Our mission is to Measure the Internet, save the data, and make it universally accessible and useful. M-Lab works to advance network research and empowers the public with useful information about broadband and mobile connections by maintaining a scalable, global platform for conducting internet measurements, and by supporting an ecosystem of external partners and users around the world interested in using the resulting open data. Our users are researchers, activists, analysts, journalists, experiment developers, hosting providers, regulators, municipalities, and every day consumers. M-Lab works to enhance internet transparency, and help to promote and sustain a healthy, innovative internet by supporting our users in their research and data analyses, developing and publicizing new use cases for our datasets, forming collaborative partnerships, and building open source measurement tools. Last year we introduced our platform and data to csvconf; this year we would like to introduce the project to those who are new to the community as well as dive deeper into our open source alternative for on-premise measurement devices that contribute to our public data set. We would also like to share our community engagement methodology, in hopes of starting a discussion around how to best make data open through accessibility and usability.",,https://github.com/m-lab,@laiyiohlsen
speruzzo,Serena Peruzzo,Improving law interpretability using NLP,"Laws define how people may or may not behave in society, but are often hard to interpret and inaccessible to the public. Data Scientists from Bardess, in collaboration with a research group from the Government of Ontario, have investigated how NLP can be applied to understand linguistic patterns in legislative texts and extract information that is meaningful for the public. The methodology developed provides us with a framework for representing legal texts that can be used to simplify the way information in the law is accessed and, at the same time, inform legislators on how to write more clear and accessible legislation by highlighting parts of the law that are particularly hard to interpret.",speruzzo,sereprz,sereprz
msantos,Melissa Santos,Time-to-Event Analysis for Non-Medical Applications,"How do you estimate the time until an event, especially if the event might never happen? The statistical methods for this come from studying time from disease diagnosis to death, but we can use these methods for much more cheerful data. For example, how long does a subscription customer continue to pay you? How long does it take from someone commenting on your open source code to becoming a contributor? How long does it take from the user being seen the first time to them becoming a paid customer?  Kaplan-Meier survival curves are a non-parametric estimates of the time to an event. They make no assumptions about the distribution of the time to the event, and they handle samples of various ages that may or may not have made it to the event. As well as the theory of these, we'll dive into how to calculate them directly in SQL. To finish, I'll share some ways we've been using Kaplan-Meier curves to make decisions at a Software as a Service company. ",msantos,,ansate
