id,name,title,img,twitter,slides_url,talk_url,abstract
critzo,Chris Ritzo,Measurement Lab - Open Data on Global Internet Health,critzo,critzo,,,"Measurement Lab (M-Lab) is the largest open internet measurement platform in the world, hosting internet-scale measurement experiments and releasing all data into the public domain (CC0). We are an open source project with contributors from civil society organizations, educational institutions, and private sector companies, and are a fiscally sponsored project of Code for Science & Society. Our mission is to Measure the Internet, save the data, and make it universally accessible and useful. M-Lab works to advance network research and empowers the public with useful information about broadband and mobile connections by maintaining a scalable, global platform for conducting internet measurements, and by supporting an ecosystem of external partners and users around the world interested in using the resulting open data. Our users are researchers, activists, analysts, journalists, experiment developers, hosting providers, regulators, municipalities, and every day consumers. M-Lab works to enhance internet transparency, and help to promote and sustain a healthy, innovative internet by supporting our users in their research and data analyses, developing and publicizing new use cases for our datasets, forming collaborative partnerships, and building open source measurement tools. In this talk we will introduce the M-Lab platform with the csvconf audience, share how our open data and open source tools are being used by communities around the world, and provide resources on how attendees might use them as well."
tallard,Dr. Tania Allard,Where Has Your Data Come From? Data Ancestry and Other Tales,tallard,ixek,https://doi.org/10.5281/zenodo.2697993#.XNV15C3lHA0,https://youtu.be/xBbLP00GNAA,"Over the last few years, great improvements have been made around the areas of reproducible scientific computing research and FAIR (findable, accessible, interoperable and reusable) data.  As a consequence, data scientists and researchers alike have started to incorporate modern software development practices in their workflows (i.e. version control, testing). More and more emphasis has been made on the need to look after the quality and validity of the software developed. But what about the data? Data validation and integrity is just as important as the adequacy of the code ingesting and processing the datasets. 
In this talk, I will take a high-level look at concepts such as data lineage, provenance, continuous data validation and present real-world examples in which these concepts have been applied to different real-world data pipelines increasing not only the confidence of the results obtained but also the efficiency and integrity of the workflows themselves.
"
rmallinga,Rachel Mallinga,Data Analysis to Improve Diversity and Equity in Graduate-Level Education,rmallinga,,,https://youtu.be/a6KzR9IQk0s,"This project grew from the need to determine what students of diverse backgrounds need to feel welcomed and represented in their graduate department at the University of Oregon. Two women of color took the initiative to conduct qualitative and quantitative research on how equity and diversity are represented in curriculum, services, and departmental resources.  Based on our findings we researched resources on campus that address the problems identified in our data and best practices for graduate education implemented by similar graduate-level programs in Oregon. This talk illustrates how research methods can be used to inform institutional policies and practices to improve diversity and equity."
acouch,Aaron Couch,Preparing Clients for Open Source Contributions,acouch,anotherc,,,"At CivicActions we've developed a number of methodologies to help enable our clients to be a part of the open source community.This talk will focus on a number of those strategies including capture management, project roles and tools, and reporting measures. This talk will be slightly shorter to allow for time for a more collaborative discussion."
jstupart,John Stupart,Project Athena: Mapping African Militaries for Good,jstupart,africandefence,https://doi.org/10.5281/zenodo.2712707#.XNiPTNXS1yE,https://youtu.be/M-B6KD7Kxuo,"I will discuss ADR's project aimed at creating a database mapping out, literally, where each and every significant item in a country's military is. Tanks, planes, barracks and the like are being categorised and placed in our custom-made ""Athena"" database. Aimed at pulling open the lid on arms flows into Africa, Athena is suited for journalists and those in the humanitarian or academic field alike working in anti-corruption and transparency as it pertains to defence and military affairs."
amorley,Alexander Morley,What's Next After Notebooks?,amorley,alex__morley,https://zenodo.org/record/2771413#.XNiP_y-ZNQI,,"Jane is a data scientist. Jane uses Jupyter notebooks as her working environment, and her presentation environment. These “computational essays” allow Jane to present her methods and her results to her colleagues at the same time. Jane is happy with this. But sometimes it’s difficult for Jane to share notebooks with her colleagues, and even harder for them to re-mix or re-use parts of the notebook, or to share their changes back to Jane. And sometimes Jane finds it hard to explain the flow of a particular notebook, or how different notebooks are tied together. There’s no provision for keeping things modular. First, I will discuss a few up-and-coming projects that are leveraging the power of new web technologies and faster browsers to solve all of fictional Jane’s problems, and more. Second, I will present a prototype for my own solution that is also web-based, and draws inspiration from some now-uncool graphical programming languages."
gcamacho,Gala Camacho,Social Data: Invading Privacy or Creating Better Cities?,gcamacho,GalaCF,https://doi.org/10.5281/zenodo.2806956#.XNsr2NWsZd4,https://youtu.be/g-9LQjQF1xU,"Urban designers have long heralded the value of the public realm in creating stronger communities. Yet, their processes and decisions are based around data that is far removed from the community, outdated and/or based on surveys and feedback forums which are generally attended by the same group of people and which can be overtaken by lobbyists. If we want to create cities that place people at the centre, it is essential that we find data about what makes neighbourhoods connected and wholesome, neighbourhoods which provide safe spaces for their community to engage.  Social data (data from social media, crowdsourcing, mapping platforms, review apps, etc) can give us an opportunity to understand how people engage in their communities and interact with the places around them. It can be used to provide insights into the social health of local places and identify vulnerabilities, to feel the heartbeat of the neighbourhood. I will talk about what social data is, some of the challenges of getting it and collating it, the data's strengths and weaknesses, and how we are trying using it to make cities more socially connected."
maquilina,Marisa Aquilina,Crafting Data-Driven Stories for the Everyday Reader,maquilina,,https://doi.org/10.5281/zenodo.2702448#.XNV1uLuzvRI,,"Journalists don’t write for other journalists—they write for the curious and community-minded public. In the same way, statistical journalism should not be a black box of visualizations and narrative meant only for data makers like us. Crafting data-driven stories for a general audience means giving readers an opportunity to interact with a fun and practical use case while explaining the interpretative thinking that lies under the hood of statistical methods. I am an undergraduate at Cal Poly that writes and builds interactive, data-driven publishings with a team of students. I'll walk you through how we ideate fascinating questions, make methods explainable, and use Jupyter Notebooks to share reproducible code."
mmarr,Mollie Marr,Using Research and Technology to Tackle Gender Bias,mmarr,MollieMarr,https://doi.org/10.5281/zenodo.2673090#.XNRY2LTh8cA,https://youtu.be/5okW11HZ3x8,"Qualitative and mixed methods research studies have provided insight into the language and patterns associated with unconscious bias across multiple fields.  These patterns can be converted to rules for NLP and other text analysis programs making it possible to identify bias within a written document.  This talk will explore one approach using qualitative research in gender bias and letters of recommendation and evaluation to define rules for a web-based automated text analysis program using NLP.  The role of research and technology in addressing structural issues such as bias will be discussed and participants will be encouraged to think about ways in which existing research might be used to inspire new solutions to social problems."
abruce,Afua Bruce,The Time is Now,abruce,,,https://youtu.be/6OerpwEnF5w,"Despite the tech world’s image of being fast-moving and constantly evolving, segments of those working in, or wanting to work in, tech are often told to wait.  It’s no secret that the tech and data worlds do not reflect the nation’s diversity.  And for those of us working in Civic Tech or Public Interest Technology, the struggle to secure long-term funding for projects or identify career paths is real.  What if we shifted our mindset from “with a lot of time and a lot of work, we’ll figure it out,” to “let’s experiment and incite change today.”  The time is now to tackle the question: as the data-driven community matures, how does it do so in a way that’s inclusive and sustainable?"
ashernández,Adrian Santuario Hernández,Chromatocracy: The Pantone® of Mexican Social Mobility.,ashernández,AdrianSantuario,,https://youtu.be/AZcDNoGPaVg,"Skin colour ratings have been used in several studies about racial discrimination and racial attitudes but have rarely been used in Mexico. Although since 1917 the Mexican Constitution establish a legal equality of citizens without distinction as to race, sex, language or religion, it is common to see several discrimination on work spaces, educational facilities and government offices based on skin colour. Despite the last surveys leaded for INEGI (National Institute of Geography and Statistics) shows signals of racial discrimination in his reports, a glance at the map will suffice to see clearly that colour skin is an important issue for Mexican social mobility. For example: 95% of the presenters on Mexican TV Shows have 1-3 colour skin tone (Based on PERLA Colour Palette) while 85% of the total Mexican population have 5-7 colour skin tone; that gap on the tones generate an aspirational sentiment of status: whiter is better. To support that correlation between skin color and social mobility I developed a Web Scraping, Machine Learning and Facial Recognition algorithm to answer two questions: Who is more successful in Mexico? (95 percent of CEO tend to have whither color skin (1-3 PERLA) that the rest) and, Are there a correlation between your political affiliation an your tone skin? (Right-wing party (PVEM) is wither that the left-wing party (PRD)). The work demonstrate how technology (Machine Learning Color Algorithm) can help to unravel hidden social dynamics in mexican culture."
dskatz,Daniel S. Katz,Fundamentals of Software Sustainability,dskatz,danielskatz,https://doi.org/10.5281/zenodo.2677975#.XNRXF3z29AU,,"Software sustainability means different things to different groups of people, including the persistence of working software, and the persistence of people, or funding. While we can generally define sustainability as the inflow of resources is sufficient to do the needed work, where those resources both include and are somewhat transferrable into human effort, users, funders, managers, and developers (or maintainers) all mean somewhat different things when they use sustainable in the context of software. This talk will illustrate some of these different views, and their corresponding aims. It will also provide some guidance on quantifying software sustainability from some of these views."
julopez,Jonathan Uriarte-Lopez,Improving the Quality of Neuroimaging Scans,julopez,96jrul,,,"My presentation will be on how adjustments to the human connectome project (HCP) pipeline, with the use of the advanced normalization tools (ANTS), improved the data quality of neuroimaging scans provided by the Autism Brain Imaging Data Exchange (ABIDE). Autism spectrum disorder (ASD) is a neurodevelopmental disorder consisting of altered social and communication difficulties along with repetitive and restrictive behaviors. It is difficult to study a living brain safely which is why we use neuroimaging techniques such as MRI. Data quality can be affected by subjects moving in the scanner, or due to computing pipeline issues. Adjustments to the HCP pipeline lead to an increase in data quality, and a decrease in the amount of data lost. This will save researchers time, money, and data to study the neurophysiological aspects of ASD. "
afoster_lmoore,Antoinette Foster & Lucille Moore,Lessons Learned: Creating Space for Inclusive Practices in Academia,afoster_lmoore,lucilleamoore,https://doi.org/10.5281/zenodo.2697446#.XNV2AJw1In4,https://youtu.be/bokzXPRn1Cw,"With the advent of big data, many people are beginning to explore fighting social inequity and structural systems of oppression with data in order to (1) define the problem and (2) affect changes in policy. We are learning that, for the most part, much of the data around these issues don’t exist, which largely reinforces systems of oppression. 
                At Oregon Health & Science University in Portland, OR, a group of people have come together to focus on the lack of representation of historically underrepresented minorities (URM) in science as well as the lack of inclusive culture within OHSU’s graduate programs. Our group is called the Alliance for Visible Diversity in Science (AVDS). We found that data on a variety of topics, e.g. statistics on the number of URM graduate students that are interviewed/accepted/decide to matriculate, and well-designed climate surveys to assess the culture of inclusivity are lacking. This leads to decision-making and policies based on incomplete data that disproportionately hurts already vulnerable populations. For example, many programs require that applicants report their score on a standardized test called the graduate record examination (GRE) despite the fact that research shows that GRE scores are more highly correlated with socioeconomic status than student success. We would like to share what we have learned through the process of forming AVDS: our successes, our challenges, and the imperative idea that we must in part approach social inequity issues with scientific and data-driven approaches."
etachovsky,Evan Tachovsky,How to Feed Your Robot: Building and Maintaining Open Machine Learning Datasets,etachovsky,evantachovsky,https://doi.org/10.5281/zenodo.3233117#.XO02fdL52RQ,,"While algorithms and computing power get all the press, the special sauce behind many recent machine learning breakthroughs are meticulously labeled training data. Developing and maintaining these data sets as public goods is both an art and a science. In this talk I'll present a new set of best practices gleaned from interview with ~20 data set builders, maintainers, and funders. Topics include: encouraging collaboration between rival data teams; finding and addressing ethical issues with crowd labeling; launching competitions to spur data set use; and revenue generation models for sustainability."
ncanzoneri,Nicholas Canzoneri,Bash <3's CSVs: Data Analysis on the cmdline,ncanzoneri,nick_canz,https://github.com/nickcanz/csvconf2019/blob/master/csvconf_2019.pdf,,"Your bash shell has a _lot_ utilities that can be used to help you analyze your data, often easier and faster than trying to import your data to an external tool. But these utilities can be hard to find and even harder to figure out the right options. I'll walkthrough a data set and show examples of the best utility to use in different situations. I'll go over common commands like `grep` and `cut`, more exotic commands like `comm` and `tr`, and dig up very useful options to a command you might have overlooked, like `sort -k`."
zselvans,Zane Selvans,US Energy Data Liberation,zselvans,ZaneSelvans,https://doi.org/10.5281/zenodo.2825635#.XNyBGxNAPDI,,"An alphabet soup of government agencies like FERC, EPA, EIA, PHMSA, MSHA and the ISOs and RTOs collect and publish terabytes of data about the US energy system. It includes operating costs and fuel consumption, hourly power output and GHG emissions, and the age and length of natural gas pipelines, the price of electricity every 5 minutes at thousands of nodes in the grid, coal production numbers and much much more. In theory all this data is public and freely available, but in practice it takes a lot of wrangling to make it usable for analysis. The result: it's packaged up by one or two platform monopolies that charge tens of thousands of dollars a year for easy access, excluding most non-corporate users. But for anyone interested in the ongoing transformation of our energy system and its climate impacts, this data is a treasure trove worth excavating. The Public Utility Data Liberation project (https://github.com/catalyst-cooperative/pudl) has been working for the last 2.5 years to liberate this data and make it freely accessible to activists, data journalists, and researchers working on US climate and energy policy. This talk will take a look at what the data is, where it comes from, why it's interesting, how we're processing it and making it available, and some of the challenges we're facing and opportunities we see ahead."
msantos,Melissa Santos,A Love Letter to the Boxplot,msantos,ansate,https://doi.org/10.5281/zenodo.2697232#.XNV2TamcLzY,https://youtu.be/GRlCfcjLuu0,"We'll briefly cover what the boxplot is, why it's so great to look at distributions instead of single statistics, and common boxplot variations. I'll spend at least half the talk showing boxplots of real data and comparing them to other summary methods. The talk will wrap up with some quick info on how to create boxplots in many common chartings/statistics/BI tools. I hope this talk will make people more likely to use my favorite chart!"
jnolis_hnolis,Jacqueline Nolis & Heather Nolis,Spanking and Spreadsheets: Data-driven Sex Journalism,jnolis_hnolis,skyetetra,https://doi.org/10.5281/zenodo.2882431#.XOJa7QvrqNk,https://youtu.be/kAl_urbftEo,"When we saw that the Stranger, Seattle’s alternative newspaper, was running a survey on kinks and sexual preferences, we knew we had to get our hands on the data. We convinced the that using machine learning methods on the responses would be a good idea, and then we quickly set out to analyzing them. But we had never written an article for a newspaper before—nor had we worked with data even remotely as dirty. It turns out what makes for a good blog post or technical journal is very different than writing for print, especially for such a sensitive topic. In this talk we will cover how we made sense of the lewd data, the statistical methods we used (and failures we produced), as well as the final results that ended up in our feature article: “There Are Four Kinds of Sex Partners (which one are you).”"
dlowenberg_thabermann,Daniella Lowenberg & Ted Habermann,Missing Data for Data - Our Quest to Clean Up Institutional Affiliations in Dryad,dlowenberg_thabermann,Danilowenberg,,https://youtu.be/O1aq0lNrrZ0,"Data publications and other scholarly outputs do not have clean information on institutional affiliations for researchers. This is caused by a mix of not asking researchers for this information up front, as well as incomplete metadata being submitted by repositories to DataCite and (publications to) Crossref. Without this standardized information we can't properly report on or provide statistics on deposits, usage metrics, or reach by institution. Join us for a session about our work using OpenRefine, organizational identifiers (ROR), and some manual sleuthing to update and improve Dryad institutional metadata for 25,000 data publications."
aenkhbayar,Asura Enkhbayar,Annotations in the Classroom; The Classroom in Annotations,aenkhbayar,bubblbu_,https://doi.org/10.5281/zenodo.2750937#.XNiPejEThSE,,"In this talk I want to explore the impact of using Hypothesis in the classroom. What does it mean to read, think, and annotate publicly? How does it change your learning experience as a student? How do you evaluate and assess different annotation styles as a teacher?

As a student I can share my own experience of this new mode of teaching and learning. As a data scientist, I want to give a taste of possible new metrics and measurements based on annotation data. Finally, as a critical scholar I am hoping to explore how this new metrification and monitoring of reading might affect education.

The talk will rely on data outlined in this essay: https://course-journals.lib.sfu.ca/index.php/pdc2018/article/view/240/213"
ikreymer,Ilya Kreymer,Beyond the WARC: Making Web Archives More Useful and User-friendly,ikreymer,IlyaKreymer,,https://youtu.be/HbqfDHjr1GM,"Archives of the web contain not only web pages but any type of data.
The only standard in web archiving is the ISO WARC file format, which specifies raw data captured from the web. However, the WARC files often lack any context or metadata about how this data was captured. The talk will briefly cover the basics of the WARC format, and also provide possible ideas for making web archiving data more user-friendly, present existing tools and suggest ideas for interoperable ways to describe collections and make sense of growing web archive data beyond the WARC format."
dphiffer,Dan Phiffer,Data & Social Justice,dphiffer,dphiffer,https://doi.org/10.5281/zenodo.2673409#.XNRXPFY3Ub4,https://youtu.be/rF7AKsRvPyA,"This talk will provide an overview of the course I'm currently teaching at Bennington College called Data & Social Justice. I'll outline some of the issues my students have been organizing around, as well as techniques they've developed for doing outreach, using data visualization to support their causes, and describing how I've supported their efforts through my own faculty activism. n.b., I'm only halfway through the semester, but there is already plenty of material for a talk."
mgould,Maria Gould,Let's ROR Together: Building an Open Registry of Research Organizations,mgould,researchorgs,https://doi.org/10.5281/zenodo.2691307#.XNV3V0HjJno,https://youtu.be/E0nTPEqoHow,"ROR is a community-led project to develop an open, sustainable, usable, and unique identifier for every research organization in the world."
spwanson,Saul Pwanson,How a File Format Led to a Crossword Scandal,spwanson,saulfp,https://doi.org/10.5281/zenodo.2836892#.XNyBaUXUB1Y,https://youtu.be/9aHfK8EUIzg,"In 2016 I designed a plain-text file format for crossword puzzle data, and then spent a couple of months building a micro-data-pipeline, scraping tens of thousands of crosswords from various sources.  Then, having all those crosswords in a simple format, I wanted to see if there were any common grid patterns--and discovered egregious plagiarism by a major crossword editor that had gone on for years. This talk would cover the file format, data pipeline, and the design choices that aided rapid exploration; the evidence for the scandal, from the initial anomalies to the final damning visualization; and what it's like for a data project to get 15 minutes of fame."
dkazemi,Darius Kazemi,Squishy Amoeba-Like Objects,dkazemi,tinysubversions,https://zenodo.org/record/3170695#.XOYzUtNKjBJ,,"On June 19th, 1970, a group of computer scientists who were inventing the internet referred to key pieces of its proposed design as ""squishy amoeba-like objects"".  Amoebas are porous yet have well-defined boundaries. Thinking about these creatures gives us new ways to think about networks and communities and technology.  This talk makes a case for the squishy amoeba-like object as an organizing principle for what is broadly being called ""the decentralized web"", a web outside of monolithic, monopolistic actors."
choldgraf,Chris Holdgraf,Open Infrastructure for Open Science: How Binder Powers an Open Stack in the Cloud,choldgraf,choldgraf,https://doi.org/10.5281/zenodo.2747641#.XNiPHjM-1-U,,"This talk will discuss the Binder Project in the context of open data and open science, two primary use-cases that have driven the project. It will cover the basics of the Binder Project, such as how to define a reproducible repository to share with others. It will then discuss one of Binder's core goals, which is to build on open standards to facilitate the use of *many* open languages, interfaces, etc. Finally I'll discuss how BinderHub, the technology behind a Binder deployment, is itself open source and deployable anywhere. I'll finish by describing a goal of distributed, federated BinderHubs that provide a network of reproducible data analytics environments."
aterrel,Andy Terrel,Should Real Estate Data be Open?,aterrel,aterrel,,,"While aggregators of multiple listing service (MLS) data have opened up much of the process of finding a house on the internet, the data is still closed. The MLS quotes personal security as the primary reason. What data is being protected and what is the impact of that decision? As a consumer of data from numerous sources, REX has routinely been denied access to this data. In this case we make the case for all the societal benefits for opening this data and the implications."
hdominguez,Hector Dominguez,How open data can promote participatory democracy,hdominguez,hdomaguirre,,,"In this discussion, I will explore the nuances of building an open data program as a step towards participatory democracy and the challenges of creating trust with local communities."
pmcgarry,Patrick McGarry,How to Build a Data-Driven Culture,pmcgarry,scuttlemonkey,,,"The world of modern data teamwork isn't one that can be created by software and business process alone. Individuals will need to alter their behavior, which is the hardest part about change. This talk will examine the traits and behaviors that lead organizations to be truly data-driven."
swillison,Simon Willison,Datasette,swillison,simonw,https://speakerdeck.com/simon/datasette,,"Datasette is a tool for instantly publishing structured data on the internet. It makes it easy to construct and execute arbitrary SQL queries (using SQLite) and export the results as CSV. It's accompanying tool csvs-to-sqlite makes it easy to convert CSV files into a SQLite database. More info at https://github.com/simonw/datasette"
